@rowCount	3257
w	d	cache	s	q
na ka'e kargau lo canko be lo'e vinji ca lo nu ri vofli	You can't open a window on a plane.	na,ka'e,kargau,lo,canko,be,lo'e,vinji,ca,nu,ri,vofli,kalri,gasnu,le,you,can't,open,a,window,on,plane		TPNPQORMRQPTKROMLLLPQPLMNOMQPPPNJPNMNOQLOONQOOONTOLOMKONPPLNOMMPOPKMNMMOMPPLNMPROMJRRRMPOONOPRQHPMKQRQRTNOQMMLJNRPNKKNONMNQPLKSOOOOPTNNQNSMMOJXTQOLOPJOMQQONQQMTOPMONNPNHMORPQORMSNPKKNNSUORNPOQONNQLNLPQONMOPPOSORMONLPPNKNQMNONLLLNQQQMOOPSPSMNRJSQNMQMPSQOOQOMPPQRNJMNSTOQOONMMOLPMTOPLRKRPLONKQVPQPNRPNQRQLNPNQMRPQLMNMQQROOJORNJOSLLLNOLTOQMORPNOTPPRKNRRJPPRJORQMKRNMQOQNMLNQPOPPRNKMPPSMP
da nabmi gi'e na jai se sanji do	There's a problem there that you don't see.	da,nabmi,gi'e,na,jai,se,sanji,do,t'ere's,a,problem,t'ere,t'at,you,don't,see		PONPPPPPPORIOPNNNLKPPSMQKNQQKONOQMRQPQOIONPNNIPMQNMKNORPRNPQTPNNONPNNQRRKONOOOTQSJORPNOLNOMLLPOLRRMTNQPONOOOLNQNQPNJTNQONMMRQNMONNPJQPMRNRLNMOTNRQIMMKNPORTKNQJTPLOMROMMMOLQQQWPJQLQQLOONPMOOQPKPNMNOPNORRLOPQPNQKOMNMQQNNMQROQOKMOMONTQPSPOLPQPOQOQKNOPMRPJLMSOIKPQLNPONLKQPPSMRRNNMONQOSSLRQMLSNMTQPLNMMRTPQOLOOPPONQPNKOPMQPOOMSIPROQNPMOMOOKLNMMJOONLPPRJMSQPPRPOSMHKMQUNORPMNOPPSPNPMLPTRQP
.i mi'ai se nabmi su'o da	We have a problem.	.i,mi'ai,se,nabmi,su'o,da,i,we,'ave,a,problem	👍👍	LRNONNPNOPNJNQQOMMIRMQMRIMNOOORPSNOPOORLQLOPLNPPRPMMOMSNQRQNQNNPQPQRKROQLVORONWQQJOROPOPLMMMRSROQSLWNTRMNONPLKRLQSPIOORJLPLPQMOOMRORORMRMMQJMIUNRRJMLLOQNPONOPMSNOPMRPOMMRKQTQTOKQKOKMNPONNMTOPMPOONMNLMQQQOSQMNKJRMOPPSNQLQPPQOKPLNSNROOOMOPPPMRNPPJRMNNROJLNQLGQQOMPOPPLLSQPTMOSOOLLORNQROPPMPSPNQNSMPLPPPINMPQNNOONTQPNMMOLPOMKQMQQOQOQOQPRSPNPKPJORONOPQOOMQNPPMLMPJNQNQKQMSOONMPRPNPNMPSQNM
da nenri	Someone is inside.	da,nenri,someone,is,inside		NPLOMNUQQOOMNQRLSPMNMNNNNOPNPNQLOOOPOQQMPNLNPPNORNJPQSNPRMRMRORPPMPQPIUPOPSJLLRRQOOMMQQOMPMRLMPPLPOTORRROMRONMNKNPQNSOPRRNNNNMROOOQSRRPQMPQLMRSNPNINOMNPNQOOPNPOLRMMOOMJJOPPIPPPNOOQLOMNTNSONOKROLNNSNKQPOONMLMNONSPKRLQNTPONRNOSPOKSOMPNNPSSPPUPQNPPNPPJPTQLMJNRPNMQILPSSQQPNJNNQMNOLPPJPRQPQOQKPLPOORMMMONRKQLKOMMPLQQLMOUPKPOLJNOOMRJQOMOSOOOKQONSORSNNKPNUORRONOSPLKKHKLNOQNNQOMQMNMOOOQLQOR
da nenri	There's someone inside.	da,nenri,t'ere's,someone,inside		NPLNMNUQRNOMNRQNSQMNLONNMNQOONQKOPPPOQQMOMLNOOPORMJPPROQSMSNSNRPOMPQPKUQPQRKNLRQQMPMNRQOLOKRLMPPLPOTORRROMQOMMOKNPPNTMOPQMMNOMROOOQRSRPQMPPKLQROQMJNPMNPMPPOPNOQMQMMOOMKKOPOIPQPOOOQLOLMSNROOOLQOKNMTMKRQOLONMNNONRPJRKPNSPOMPNOTPOKTNMQMOPRSPQUPPNOOMRPKPUPKMJNQPNMPHMOSSPOQOKLNQMOOLQPJQSQPQOQKQLOOOQNMLONQKRLKNNNQLQRKLOTPLPOLKNNPNRJPOMPTOONKOONQORSNNKQMTOSROONTQLKKGKMOPQMOQOMRNMLOONQKPPQ
da ni'i nabmi	Then there is a problem...	da,ni'i,nabmi,t'en,t'ere,is,a,problem		RNNQLNLOQPQMPRPNONLPOOKQJMPRQOLSQNPPORPNQPPNOKRNPOONLOSMNONPPMMNUSQNMSOTMRPRPOTURHQROOQLLNLNQRROORPTMOPOOPOPLKOLSQQKOQNOOPOQLONOMQMLNOMQQJNKNJUPSTKNNIOOQNRMOOLPMONOQPLNOPMNRQTOJQLOOOPPNPPOQNPOPRPNOLPLRRLOOPLOOKPOPNNTLQNSSNQOKNLOQNRLLQNPOORPNPRSLSOONSOJKQUKGONOMOPOOLLPQNVMNSNNQMNRPQRMPPQOUOLRQQOOKMONLOOJOLRNLNQMOMPQQQOONKVKPSNPNQNOMSOLNMJRLQOPLNPPNNNORRROPOPFMQOSLONPNMSPNQQLPOMOQMSO
da panka vi lo mi zdani	There's a park near my house.	da,panka,vi,lo,mi,zdani,t'ere's,a,park,near,my,'ouse		RMRMSNSORPMMNOSNQPPNNROPKSMRNOOLQOPQKKQPNOVOOSNMSNOQQNNQMMROTNMQMKMQVKOQOPNPQNQKKMRNRORQPPNNLPLPOKLTQQPOSOMRPOMMPSOOSMQKONNNNOQOONNKTOMQMRSNNNNPPLQOMLMQNMOOPPONPLPKOMNNPKNNPPTPKOONLOLLQPRQSSMOQJSPQPRNNOPOLRKRQNOQPMONKNLOOPLOPOQKOPNMJOJQTPRNNPMRLURSNNPQKQKLMMPMNHMNONQQOPKRKQMOMNRPQQNPMOKTOQNNOPKQMOMQXPRMPRQLRLLPMPPTKPNORQQMPNPNMNPMRQOKONNQNMQPOLPMOOTRQPOLLMMMLKNPLTSKPMLLQPQOLNNNOQIM
da pe do cuntu karda	Here is your appointment card.	da,pe,do,cuntu,karda,here,is,your,appointment,card		MPPNNOPNPJKLLNKMQPPPMSKOKRNMQORPROUMNOOQNMMOQMNOPSMKMPLQQLKONOLUIQRMTKMQQOOPRNSPMKQORMMPNLRRMOOPOOOSOOMRNNLMPNNMRNLSPQSPMOKKLLPOOPQMOMMMMNOQRNHSOSNTLKMRRUPNSQNNPMQQLOONQNOOPNTSTPKMLOMMQRNLOONLLHKJROMTPQPQQPLOMMNQTPOPMNMNTPOOPLONPMQQPPOTRNPROQOONQQONPUJPLKKITNPPQQPMOOROMQPOOGMORMPPMPONONPPMPNOQKPLNQNTNMLOONPNOULNOMSNNNOPQQPRJMNNOQOLLQOPPONMPRPOROQQOPSSLOJJQRPQMOOMPQNNPNJROMQSKNQPSNO
da plise gi'e cpana lo jubme	There is an apple on the table.	da,plise,gi'e,cpana,lo,jubme,t'ere,is,an,apple,on,t'e,table		QOOONPSNRQRLNONOPNMOOQQOORPOKMMNPSLKQOPOLNPTNPONQQLNQMQSSLUSRLRQNLMLNNUOQPPMPKNSKPNQNONOLOMPNNNNQMMROPQRPLLMORPMIRNNOMQLQRLRMPROMNTMTKQTSRLMNOQMOLLPNLONJRQNUOPQLJKLQPROJPQNPOOPMOLLSPLQQNOQONOQMTMLPPNPROJONMLMPOPOJPLOOUNPLNMOPMLMRNMPINMPOMPSNSNRPPROOMRNMQNJQOQNKHPQSPOSRRLTPNPNLNPSNNOOLQRNQNMONQOPNMOQONKNOTQNSMQOJSMPMPKONLQKQOQNRMMQKTNQNRPNMONQNPLPORQOPOQNMPNMIKJNOPMOMSOKSPLPQJORSNPS
da perli gi'e cpana lo jubme	There is an pear on the table.	da,perli,gi'e,cpana,lo,jubme,plise,t'ere,is,an,pear,on,t'e,table		TQMOMPTLRROMQOOONMPONQQPLNPOLLMRPRKMQMQRMNOPMPOMQKKQQMQRRKQNOOSPLNOLOOOQMPMLQJKQKRONNPQQLMPQNNMMRIORPPPQLNOMOPNPLPJRMMPMQPLVMOQOMPTMTPRTQPNLPROOONMNLMOLKQQOVORNNMMLMOPPOOSRLOPPMONPQPLMMKLOSJMLNRLMSONORPLPNKPQNQQLJPOONROMONPONPLMSMPNJKNMPMSSNRMSMPRMONTMLPOKMQONJEOTQPQRQRNRROPPOLURLPMOLTSQPPPONOMQMNNRLNLNNNOMPMPNLPMPLPOONKOMRPSNLMNONSNOORPNMOMOMQNPOQTNLQTPLRMPOOLPPQKNMSQNRQNMPMMUPPPR
da plise je cpana be lo jubme	It's an apple and it's on the table.	da,plise,je,cpana,be,lo,jubme,it's,an,apple,and,on,t'e,table		OOONPORNSPRONNLLNMOOORQMPSOPKMLNQTLLROQNLNRSNPNLQRNMOOPTRNTTRMQRNMLLNLUNSPNLRLOSJPOSOPOLJMLQNOMNPNMSRPQSOLMOQPOMKSMNNOSLPRMPKQNOMOTMRMPTQRMKLPRNNMMMMNNOKRPNSPORNIKMOPRQLOOORQPPPONLSPLPPPOQQPOQMUNMQOOOTPKMMLLOPNPPKMLMORKOMLOONNLOQMNQIQLPOLSSOQMPNPQQOMRLNQNHMPPOKHNPPPOUQROSQOOLNNNRMPMNNPPNOMMPLQNRNNOQPOLMOSPNRNQPLRMOLPIOPMQKPPTORMOPJROQMROPKOOPNOMRQPPNOOPMMPOLMKLROQKPKROKQQMNQJNOTPRS
da perli je cpana be lo jubme	It's an pear and it's on the table.	da,perli,je,cpana,be,lo,jubme,plise,it's,an,pear,and,on,t'e,table		SQLPOOTLRQQNPMNNMLPNPRQOMONPLLMSQQKNRNRQNNPPLPMLRMMPPNQRQMQQPNQQLNNLOMOPOOLKSJLRIROPORQOKMOPNOMMRJNSQOQPKMNNQOMPMQJQNMPMPPMTJOMOLQVMSORSPPNLNRQPMNNLKPMMLOPOTPROPMLMMOOPPORSMPQPNOOPQPKNONMOSLMNMSLNRNNNTQNONLPRNPPMKNNMOQLNOMQOLOLOSLPOJMLMPLUSORMRKQQOONTKMONHIPNOJDMSOOPUPPORSOPOONSQKQLNMSPQOPNOLNNRMNMQNNKNNNOOPNQOMPNQKQNOPLPLPPUOMNNOMQPNORPOJNNPMPOQPQTNLPSPMQMNPMMSPQJOMRRNRQNNPLMSQPRR
.i ga'u re'o lo jubme pa plise cu zvati	There is an apple on the table.	.i,ga'u,re'o,lo,jubme,pa,plise,cu,zvati,i,le,t'ere,is,an,apple,on,t'e,table	👎👎	QOOONPSNRQRLNONOPNMOOQQOORPOKMMNPSLKQOPOLNPTNPONQQLNQMQSSLUSRLRQNLMLNNUOQPPMPKNSKPNQNONOLOMPNNNNQMMROPQRPLLMORPMIRNNOMQLQRLRMPROMNTMTKQTSRLMNOQMOLLPNLONJRQNUOPQLJKLQPROJPQNPOOPMOLLSPLQQNOQONOQMTMLPPNPROJONMLMPOPOJPLOOUNPLNMOPMLMRNMPINMPOMPSNSNRPPROOMRNMQNJQOQNKHPQSPOSRRLTPNPNLNPSNNOOLQRNQNMONQOPNMOQONKNOTQNSMQOJSMPMPKONLQKQOQNRMMQKTNQNRPNMONQNPLPORQOPOQNMPNMIKJNOPMOMSOKSPLPQJORSNPS
.i ga'u re'o lo jubme pa perli cu zvati	There is an pear on the table.	.i,ga'u,re'o,lo,jubme,pa,perli,cu,zvati,i,le,plise,t'ere,is,an,pear,on,t'e,table	👎👎	TQMOMPTLRROMQOOONMPONQQPLNPOLLMRPRKMQMQRMNOPMPOMQKKQQMQRRKQNOOSPLNOLOOOQMPMLQJKQKRONNPQQLMPQNNMMRIORPPPQLNOMOPNPLPJRMMPMQPLVMOQOMPTMTPRTQPNLPROOONMNLMOLKQQOVORNNMMLMOPPOOSRLOPPMONPQPLMMKLOSJMLNRLMSONORPLPNKPQNQQLJPOONROMONPONPLMSMPNJKNMPMSSNRMSMPRMONTMLPOKMQONJEOTQPQRQRNRROPPOLURLPMOLTSQPPPONOMQMNNRLNLNNNOMPMPNLPMPLPOONKOMRPSNLMNONSNOORPNMOMOMQNPOQTNLQTPLRMPOOLPPQKNMSQNRQNMPMMUPPPR
.i ni'a lo jubme pa plise cu zvati	There is an apple under the desk.	.i,ni'a,lo,jubme,pa,plise,cu,zvati,i,le,t'ere,is,an,apple,under,t'e,desk	👍	NRQNPPRPSPRPMNNMPLNPQNPNQRPNLPNLRRNMSPOMIOPTOOOKQRPKQPORSNSQQKQQNLMMNNUMROPMPLPROROSOONOKNNOLNNJRNKROPTPONKKMRQLIQONONOMPQNPMOPONNMNRLQTQQMNNOPLPNLOQLMNKQOLTPMRNKKMONUPJQRMRPQPQOKLRNKOQOPROPOQMROOPQNOOPIOLMJNNMRPOSNPOTLPLOMOQJKLOQOOIQOQNMQRLQMQPNQOPMQNPQJKPQSMLKOOSQNSQPISPMNLPOLQNOPOOMQKPONRNQQPNLOQQNLLQSQNQPQQJONQOOIONLRJONQMQMNMLTQRMTOMMPPQPSMRPROONNQOOQMMKJKNNNPNNSOLSPLPQJMQSNPR
.i ni'a lo jubme pa perli cu zvati	There is an pear under the desk.	.i,ni'a,lo,jubme,pa,perli,cu,zvati,i,le,plise,t'ere,is,an,pear,under,t'e,desk	👍	QTONOQRNSRPOONNLOLQPQOPOOOONMONQRQMORNQPLOOONPOJQLOLQOPQSMPMPMQQMOMLOOOONONLPKNPNUOROPQRMLROLOLIQKMQOQTNLONJNPNMLOLRMLMNQONTMOOONPONUPRTPPMNOQNNPPLNOMMLLQPNWPOOOMKMMNSPMQVPOOSQPOMPROILPMMPRNMMNQMPTPNMPPLPMLLOLORLOSQQORMMNPPOOLJKQPRMINOOOMTSMSLPLOQOPOSKNQKKKRQMJGNRRPPTPOJQQOONRMPRMOPNOOPOPRPQOMORMLOROMLMONPMONOPJNNRMQNOOLQLQNRNLMNLOSRPOTOKPOOPNROSORUOLQUQMRMONLLPPNOMNSRNSRLMPLLSPPPR
.i su'o jmive ca bartu	There's someone outside.	.i,su'o,jmive,ca,bartu,i,t'ere's,someone,outside	👍	PQPMPOUQONQNMQQTPSNNKQOPLNPQOPRLMPLPNQNPNMLPONRPRKNOMPMPONQNTNNOPNOKSKSQOLOLPOPORNRMPQOTONJPLOKOOMLTPPPSSPOQMPQLJQNNONKOOMORRMUOPORPSSRMLQNMORRLQKKRQKONMNQPQNOOQQPKOOOJJNPNLMQPMOONNROLPPOOOPMPQKONONQSSOLPONPRKOPMKPMMNPPRKNPOPPSKRONPLOIRSPSSMQNQMQRNLNSPKMMQSKKQOINQSRVLQNJONQPQNQTOIONNROOSNPLOKOONMLQOQNQNLPOOPKNPOMQSKPMOKPKLQRTIPLLQRQOJONOQPNPRNMMONQORQOQNSRKPMNMOPQNKPPOKRMNNMNMOIMNQ
.i su'o jmive ca zvati ti	There's someone here.	.i,su'o,jmive,ca,zvati,ti,i,t'ere's,someone,'ere	👍	KONKMOUOQLOJMPNPPRLLNRMOMNRPMQPNPQNPNROOOMNPMNQNQONNKMRRTLSNPNONOPPMQLQQMSOLQMSOPMPKOQPQNMJSOOMNOSKVPRPQPPNQNNNMJTPRQNOMONMPRKMOQQSQQSOONONLMNRKNLIQPLPPNLSNUOMSQNNMOOOLMQOOLOROOMLOOPLLQNOMPQLOOLPLPMNQPMINOQQQOJPMNPJLLOMQQNPOQQRNSMPOJRNQUNSSQPPQMNTQKOUNINMOLKNROONPQQSNPMMMNSMONPONKOROMONRNQKOKPQNPLRNNMQLMPOPRMPQMMOPONMOMPMORUQKNNOSTPUINONNLPROPPOTJNNTPNSLQOOKILQRQPPKNNOMTPPLNQLOOOQP
.i su'o jmive ca nenri	There's someone inside.	.i,su'o,jmive,ca,nenri,i,t'ere's,someone,inside	👍	NPLNMNUQRNOMNRQNSQMNLONNMNQOONQKOPPPOQQMOMLNOOPORMJPPROQSMSNSNRPOMPQPKUQPQRKNLRQQMPMNRQOLOKRLMPPLPOTORRROMQOMMOKNPPNTMOPQMMNOMROOOQRSRPQMPPKLQROQMJNPMNPMPPOPNOQMQMMOOMKKOPOIPQPOOOQLOLMSNROOOLQOKNMTMKRQOLONMNNONRPJRKPNSPOMPNOTPOKTNMQMOPRSPQUPPNOOMRPKPUPKMJNQPNMPHMOSSPOQOKLNQMOOLQPJQSQPQOQKQLOOOQNMLONQKRLKNNNQLQRKLOTPLPOLKNNPNRJPOMPTOONKOONQORSNNKQMTOSROONTQLKKGKMOPQMOQOMRNMLOONQKPPQ
da poi ke'a ridrxobi zo'u la .zauron. djica lo nu ro da terpa tu'a .zy.	Sauron wants every hobbit to fear him.	da,poi,ke'a,ridrxobi,zo'u,la,.zauron.,djica,lo,nu,ro,terpa,tu'a,.zy.,undefined,sauron,wants,every,'obbit,to,fear,'im,zauron,zy		MSNNROUMQNMJRJMNOQNNOSPPPLQMOQTLLPKONOPMOQOOLLKKPMOJOLSQMKSOLSPPRLROPVVOPMPMNQRMNNRRPNNMOQOMORNOMQHPNPSPOMRMJPKJONQQORIPNVOPPNLOUKMLKQNRQOJMLSNQNKOLLMOQNKQPMSOOOONQKRLPPOKMOSPQLPPPRQOMQPPPJLPROPQJJMMLJNMMONKONKOOROSNPQRMRNMOMMPRLSMORMNSQNRLPRRPPRLNQONONONKMSLPQUOPPNQPPRTRMMMOQLPNMNPLPPQRMRPRQKMMLQMRMPQMOMQRPPPPQONQQQRONOOOROOMNSQQPPPPQMLLMNPOOMNORRNMMOPQOLVNNRROKMUKOPNPQSPPNMNNPLMP
da poi micyxu'i zaisle zo'u xu vi stuzi da	Is there a pharmacy nearby?	da,poi,micyxu'i,zaisle,zo'u,xu,vi,stuzi,mikce,xukmi,zarci,selci,is,t'ere,a,p'armacy,nearby		POMNLNNSRMNPOPPKSPROKRQQNPNNMONQONQRMTSSNNMOPHNPSRLNQQPONLNRMPOQNSSQTHNMQSNOTNNOPNMRQNQRPLSQJMMJPOLQONRMNNNOOQMNMOLPTJPPMPPLPPOOMPQPPRNNKKJQOPNNPOPPMMLQLTOQTPMOOLLNMNPMNRPRSPMQNNKONPNPLNURQSLMQLLMPOOPURQQLQONNLPVQMMPMNJNONNORKQOOPSMNQNNSMPSPRNNNNQPOQQNINKQOQJQLMMQNKNSRNMORMNQQNOPNNOMQONMPNOQPPRNRMNQPKMOQJNQMOPLOPLSJKOOSOTRONPONRMRONMPQRMNJQQNOOPNPLQMSKOJMONLKINQPNOPPOOOPIOONINNNLTP
da poi se sajysne zo'u da se senva zo'e poi ke'a ca'a sanji lo du'u ke'a senva	A lucid dream is any dream in which one is aware that one is dreaming.	da,poi,se,sajysne,zo'u,senva,zo'e,ke'a,ca'a,sanji,lo,du'u,a,lucid,dream,is,any,in,w'ic',one,aware,t'at,dreaming		NPMOMNQNSNMMNMPNKQLTUPOPOPOLORSRMRUPPPPNQLOMMQMQOLIIMNOSMNROOQTQPMKQQJQOOOSMQLOPMONLOPSPRPOMLOQPPNMNONQPORQLMLOKQPOQMQMOMNTLQNNOPMNNTNNMMNOPPTPPKROOORQNNOMMRPOSMLOTQPJNMOOMINQOPKOMLKMMRQQPKKNOOMLNQLOJRRNOONMQMRNNTRMMLPJPRMMOMMOSULRMONNMNSQLQMNUPPPQLPOQLKPPLOQROMNNNMNQOLQONNNSLOOKLRQORPMOQRLQOORLIUPILNSNNMNQOKSONOKOLQOONQQQQKPNMMQKPPQMMQPNRSPLPNLNJQRMPOSMPNQMQPQPLMOJPUQPRPNLNOKOVQMO
da poi zvati lo vorme zo'u .e'o ko cpedu lo nu denpa	Whoever is at the door, please ask him to wait.	da,poi,zvati,lo,vorme,zo'u,.e'o,ko,cpedu,nu,denpa,e'o,w'oever,is,at,t'e,door,please,ask,'im,to,wait		OPPMNNQLQPOKMNQPQNLONOQLKLNOPPOKRNQNSPPNNNMQNQNMTMLPMRNRSNOPNOMQPOOKQQQOPPMJMQQNNLKPMRSQMRNNLPLTNPHSPOONPRPSOMONPRNOPQRMRPNPMLPOQPOMOQPPMOMJNMKRRNLOQKLSPNNNTPLRPQMLOOJINPNSJOPQQQMPNOMKPMPMQRTPOHMLPMMPNQNQLOPNPPNQNQMOQPNNQQNOSMONTNHQSQOSUOSOUMPSOPMRLNVRKOJJNUPOQMKRSQPOOPQPMQQSONQQKORPNPSPONNNONRMLPQPQKNLROMOOKUPONQRPMOOPNNNRQOKNNPOPMNOKJMLOOQOQMPPLQMQNOOMOOSKOLLNNPTOJPJJOLRMOLQPPNNN
da prami ro de	Somebody loves everyone.	da,prami,ro,de,somebody,loves,everyone		MQTLOOTQPPNNOOMRLNHNIMLOITPMOPPKTRMQPRMNNNNOMQQPRPPNLNQSPKQNORQOSOQQLNOPQQQNNNSPMOPOMQONNPJONLKLOMJUPSPQNQNOONLPMPQMOMQOPQQTNNNOMLSOKNNNNPMPMQRQMKJOQPOQKNSQROMOOMPMNPQOOPMOLRORNOOLQPNMPRQNPMMONLSMNQOPQONNRNPQNMTIQPLMNNTORLKOORRSPLLMPUNKVPPRRQOQOOMSLOSMJKRPJLONLTPPPRQNMQNKOQJNRNPOSMPKLOORNOMOLPONJLOQLKPRNQOQMLTRKORPNLQONOLPOMSJPRQRROSNRNMOLRQMORNLNOOMMNPPONPMMQQNNMSIOQMONSRKQORLPQTN
da pu catke mi mo'i ne'i	Somebody pushed me in.	da,pu,catke,mi,mo'i,ne'i,somebody,pus'ed,me,in		PNPQSMRPPQQNPNONPKJOJQLLOPLRNQOMOPOPRNPNPIQORQNOQOMQMPOSRQSPPPQQPNROONSNMOPMLMSPPMKQNOQPOMRLQRNJNQMWQQLKNLOPLONOORNNNPQPOPJOLJLOONOPPNOPLPSPNOPPOMIPNPOOKRNNUONNQPOOPKOLNPLPOVPLNMPNPPMLROMMLNMOLKORPQKPNNMNNOLMSKOMTRLOMNQPPMPOLPPNRKMNRMOOXPRNOQLONMUTNOVQNNPKJONPOTLNNSOTLQOMNQISTNPNRNQKJSOOOMKKLRKRPROLMNMOOOOMOOSQOMPQSPMOQPOPTRNNQMNQTQPQKLNRMQRONPNSMONPNNISQNMJOMQOJQQNPQNPNOQPMPKQMOON
da pu catke mi mo'i ne'i	Someone pushed me inside.	da,pu,catke,mi,mo'i,ne'i,someone,pus'ed,me,inside		PRORSLRORPPNPOOMRLIOISNMNQMQPONJOONPQOQMPMQNPRPORPLRNQOQRQSQPPRPPNQPPPUONPQLLKSROOKOMPTOOOQMPRPIMONVQQNNPMOOLPMMOPOMQORPPOKOMJMOQNORRPNPLOTOONPQNMKQNNOPLRLQSOPOQQNQQKMLLONNMUONMKOOQPNMSQOOKNOPLHMSSNKPNNLOMMLKSLPNRSKONPOOPMMOOQNNRJKPQMPPXQSOQPKOMOURLOUPOMOKLRPOMQLKMTOSNNNLNRJTSLNMPNSLLROPNNLMMPOTORPMNLMNNNOMONSPLLOQSONOONOPSQNNOMLPUQOPMLOOMQQPNOMRMRNONOJTRNMKNKONJPPNOQPONQPNMPMQLQNO
da pu cnino cukta	It was a new book.	da,pu,cnino,cukta,it,was,a,new,book		LMOQMNMNRRRVNJMMMOMMMSNOOMNMPNNUPMOOVQROPMMSQSNNRQNLKJRQPONLQMORRNLOLONPSOOLNOPMMJQNNRNKMNQOQRLNMQSWMTPNPKOONNOMPOPOSRPQRQNOJOPOOPNQRORPMJPNLMNOJORMNUPNMSQNOQMPPMNOOKPRMPPKMQMOQQNNMOLPKRSNTSPTPQMONNKNNOOKMNKJQNOPJPPONOMNMMSONNKQMNLRNMNNSPSONOOQNQOMTOSPLLOMMTNMSKNOPMQQPOORSPPLQMMSNLQOLOLPNNKNPQLRLNQPKMJOMMLQSPSONMNNNSOONSNNTRPOMSMPTQOOUJLQPQRLORNNMOOTOPMQMQOLNRNRNNPMOMRPSOQOORLOPKOR
da pu fonjontoi .i ko smadi lo du'u lo go'i cu mintu ma kau	Somebody called. Guess who?	da,pu,fonjontoi,.i,ko,smadi,lo,du'u,go'i,cu,mintu,ma,kau,fonxa,jorne,troci,i,somebody,called,guess,w'o		IOOOLNYPRPNLMNMQNMMMNPKNOPOQNMOONOMQMRMOOONPMMNONPPNLOOORPQSLOONOSNLPNSQPPPLQPSONNJQPROQNLJNNOKQMOKUNRMROOONONNOMPQPPMNNOSLQKTNOOMTSPMMRQNOHNNTRKNJORUOQOOQNUQONPRPLQPJOQRNQKMMSPQMPRQMKNPNOPOMPOMQMOPQOOOQPNSMMPNNLMQKMNNOROOKOOQQSTLNMLNPMURVRMNNQNMLPNPXQMMLMJNNRMPOLOTOPJNPQPMNNNQNNONSRNPQRMPJMMNTMOMOSMOLRPMNTQMQSPMQQNMJOPRPPOMQNPNOQSNPPOOMMNMQPONPROOMSMORQPLPLMPPRTNRHQOMPTQQINQKNOLNQ
da pu fonjorne	Somebody called.	da,pu,fonjorne,fonxa,jorne,somebody,called		INMPJNYQSNMNMNOQOKINPSJNMNOOROROOPKRNSMOONMONMNLOOOPLNQQRPQRONOMORMLQOPQRQPLONSPNOLOORPQPMJONOIONMLYNSLQPOPPONKOLPONNMPOQSOQKPQOOLSROOOPPQNJMPTONMJOORQQNPSNTPNOPQPMPRKNQRKPMMNRPPONQNLMPRLNROJQNNRMNOPPQRQONPLPQKQLORKNMOPQNNLOPROUSLNPJPPNVQTSNONSMMNNMOUPMMMNKOMQQONNPSQOKNPRPNMOORMMPMRPMPPOLQJKMPTOMMOQLPOPNNNRPPSSNLQROMLOQRPOPNSLNNLQTPOMRPNQKMPQOMNQLMOSNNQPQMPKLOQRSPPJPNMOSOOKPQLONMQQ
da pu fonjorne	Someone called.	da,pu,fonjorne,fonxa,jorne,someone,called		HQLQJMXRSNNMNOOPOMJOOSJNMMOPROSNRPKSNSONONLMMMNLPONOKNRPSOQQOMONNTLLQNQQQOQMNMSPNMMNQROPQLKPOPKMOMLXNSLQPPPQOOMNKQPNONQNRRPPKPROPNSTOPOPOPOJMQTOMNJNPSRPMPQNVPOOPPQMPQKLPRMPMLMQQNMPONLMRPMOQRIQONQMNNPPRQQONPLPPKONNRKNMOOQNNKOOQOTSLNPJPONUPSTONNRNLNMLPVPMMMOLONQQNMNQSPOMMOQOOKONRMLOOTOLPNPMQKJMOUOONOOJOOONNOQQORSNMRRPNLOORONQOTLOMLQUPPMQONPLMPQOMMRLMOTNNQQPMOLLPORTPNLPNOOTPOKOPLNOMNR
da pu fonta'a .i ko smadi lo du'u da me ma kau	Somebody called. Guess who?	da,pu,fonta'a,.i,ko,smadi,lo,du'u,me,ma,kau,fonxa,tavla,i,somebody,called,guess,w'o		IOOOLNYPRPNLMNMQNMMMNPKNOPOQNMOONOMQMRMOOONPMMNONPPNLOOORPQSLOONOSNLPNSQPPPLQPSONNJQPROQNLJNNOKQMOKUNRMROOONONNOMPQPPMNNOSLQKTNOOMTSPMMRQNOHNNTRKNJORUOQOOQNUQONPRPLQPJOQRNQKMMSPQMPRQMKNPNOPOMPOMQMOPQOOOQPNSMMPNNLMQKMNNOROOKOOQQSTLNMLNPMURVRMNNQNMLPNPXQMMLMJNNRMPOLOTOPJNPQPMNNNQNNONSRNPQRMPJMMNTMOMOSMOLRPMNTQMQSPMQQNMJOPRPPOMQNPNOQSNPPOOMMNMQPONPROOMSMORQPLPLMPPRTNRHQOMPTQQINQKNOLNQ
