@rowCount	3393
w	d	n	t	g	r	q	v	s	b
tendo	$x_1$ is the tendon/ligament/sinew attaching body part $x_2$ to body part $x_3$ in body $x_4$	see {xadyskoterjo'e}	experimental gismu	tendon	tendo	KOOPNNSQRNVOSQONMQLPOSNPKOPPONJRKRMPPLMPOLPKPUNROPNOOSRQKLLOSQQQNLQMMOONMQPOTMQPKOPRLSMOLQOMPOOOPNKOOOTRLKLQROPONLMNMQOPRPKOLLMOOMPJHNMNLMPNLSNPKQLOPQPONNPMKOOQNNOKPMNOQKKMPNPOQLQQVMRNNOJQNKPQNOLNPNNMSTMNMUPQMOPOQPRKMOJOLRPOLROPNMQSPQNKJLRRNOKSPMOOQOPLNPMLNMNNNNPMTNTRNNOMLQNOSLPNNOPMNMOPOQOLLOOROMPLMLMQMMNNOLPVONNRLPPOPOPJORQQQOOPQOQMKRNJSOSQNOMQJOTLNMLRTMNQOMQTPMPPNMRNOLJPSPOQQSSQ
xlarafsrejvo	$x_1$ is an improperly-created/wrongly-proposed/illy-proposed lujvo with intended meaning $x_2$ but actual interpretation/built from metaphor $x_3$, due to/with error $x_4$ in its rafsi $x_5$, which is unacceptable to $x_6$ by standard $x_7$, in language $x_8$	Notice that terbri structure and conditions of error are not referenced in the terbri of this word. The error could be simply failing to be the highest-scoring lujvo available (for a given tanru) by some algorithm/standard; however, it could also be the product of a certain unintentionally wrong tanru construct (wherein a given meaning was intended but is not reflected in the {veljvo}). See also: {srejvo}.	lujvo	bad rafsi;error lujvo;improper lujvo		MLSQOKORROTMTQRMONOPQQNNQROMQPMSMOQRNNSNKKRMQPNPKNJRQPNLMPNLNSPMPMNMOVPONULQXRNMORPOPRMMTQQNPSSNPNLOPQLNMLPLPLPJQJMOLOLPMONPPJMOQPLNNPNOIOPPKPQQOOMNPPOLKUSPLRLMSQNKKMOONQMROOQKMMNORQQJMONOQQOPMOLOPNNOOQQIRNQNOPNOLRQOKONLONKOLSLOKKRMOPLKMQRORKKPUOLNLSOOMNMOMPPLPNMKQLNQQMOLONRLOQQOONNQNMPQPTQPQMQQLNMRMPOQQNQPOLQRNPNMNSROJNLNNNONPNONMOONMQOOUPOMMQJPLLQOSPNPNNOOSRNTQRMNNMQSMNONNPLLUSOQ	xlali;rafsi;srera;lujvo
xlarai	$t_1$=$x_1$ is the worst among set/range $t_4$ for $x_2$ by standard $x_3$.	Cf. {xlali}, {traji}, {xlamau}.	lujvo	worst		PPQOOOQSRMSNVMNNPMOPOTOQONMPSOLQPPORPMPPLNUMNTMNLJMQLPROKNPMNRPMONOPOWMQLSNQVLQPLMQPQNNMRNOOSUOOROKPPRMNNJRLQKPINKMNMOMNOOPPONQOPOOJNMKQMTPOJQTNROKNONOMOQOOKQKOMPOLMQLOMPNNRPMOKKMQPSQJQPKRNMRQPKNNNOPPPPOLSRPONROJMQSLOQGMQMKOLRPQMJWQRQKMMLUOQLOPQMKQMROQLJNMNPKMKLNNQQNTQONMOMMLNRSPNMOPRMORMQNRPNOPMMIOOORQMQMLOPSRNPNOPPNOKMPLNOOORPQNMPMOOOLQOSPKMQMQNNPORPQRQQOQPLNSNMOQPLPOOMRPOQNPROMS	xlali;traji
xlatce	$x_1$ is terrible for $x_2$ in aspect  $x_3$		lujvo	terrible		SPTPPOQPQMUNRROMONOPNOPNNONPRNMUKQMRRORLLOQOPPNOMKNNPOOPLRPNRROKQMOLLUOMLQMPSLPQQNPNPPMJNNQPOSRMOLNSORMMPLPPSNQNPLMNNNMONOKQNLQOQPMLMQOOPONMIPTOMSMOPOQKLOUPJQLMOPNKMROONQMMPSROLKQQRSRLOOMOPKQLLKOOMMMRRPOKQQQQOOSLMNSMQPHMROMOIRMOLKTRQPKLMOSONOMRQNLPOQPPOPPNKSKKKNPLPNNRPLSNNOLNOPOQPJNPNMOONOQNQNNPKOKOPRRRMPOLOPPTLQMMQQSOLMPOIMLPSOOPILNNOQKROQNLMQMQLMROPQMPSONNTMNSPMQNOOPOMNSQNNOOUTQO	xlali;mutce
xlati'a	$t_1$=$xl_1$ is bad weather at place/region $t_2$ for $x_3$=$xl_2$ by standard $x_4$=$xl_3$.	Cf. {carvi}, {xa'urti'a}.	lujvo	bad weather		ROVRPLQLQNULUOQNMLLPOSOPOONRTRKUPOQQRLOPLLRMOSNPNNQSMNQPKONNOSNNQNLPORMNOPLPSLPPNOPMPQMMPOQNRUOOSPKPPNMPPLNNRNNKOHLPLOLMKMMQQLROSNOMNOLMLORNIORPONMPLLNOOQRQLQQLOMMLOQMPMOMOSOPKLKOQPQQMROKONNRKPKORLLPORTOMPORQJQMNLPQNNOKOPPLOMRKOLLTQQQLMLNTPPSMTOKKRLQPPMONPNSINNJNLRNRRONOLOKRLNSQRLMMPOKPQJOOQRNPQKNNOMROQLOMRMLRPNPMQLPOONLPKLNNMUPPOKKLMMQNPQQNOQPNRMMPLQNPNQPOQOMLQPOPQNMRPNNOPPOQPPRLP	xlali;tcima
xlatra	$x_1$=$t_1$=$xl_1$ misbehaves / is naughty for doing $x_2$=$t_2$ (property/event) under conditions $x_3$=$t_3$ by standard / breaking rule $x_4$=$xl_3$	C.f. {xlali}, {tarti}	lujvo	misbehave;naughty		PQSQOMRLROVKVPSOOPKSPONNNNMMQPMOOSORPKRQLKPNOTNOLLPRNRROMOOKPSROOMKONTNKMQLPTPONJPPOOQLMSONNSTPNPNKQNSMPQMNNPMMNPJOQMONLQNMOMHPONNKLPOOPNRRLIPOSONOOOOPQNPPMPOPMQNMOMNMQJMMNNOOLLLRQTQPLPPKPQLQMLIPPPMNTNPOJPNUMMOMQKRQLLPLMNOOONQIOMMSNQPHJLPROOPLTNOLOMQQPKNNPKQMKOLMJROPSQQMLSNSJPROQNLLRNPNTIQOQQLQQLMMNNNQQOONPLLQQLMMOOOOOLPOJOONLSMQOOMKMPQPSRQNMPONTNNRPSNPPNMQRQNPPMQONRNPPMNOOQRONRQPO	xlali;tarti
xlibakni	$b_1$=$c_1$ is a heifer [young female cattle/beef-producer/bovine], of age $n_2$, immature/defined as a heifer by standard $n_3$, of species/breed $b_2$.		lujvo	heifer		NORRNOROQLTLQPPNNJOOQRLSPLLLPTLMQOOOSKQRPKONRTMNMNMQMNQOLPONPRUPLMNTPQPPMQMOSPSPIPKOMPNONNMNNQNMRONNOQNPLOINQNMKJMPTMLJLNPQRQKQOMOOKJQNOKPQOLOPPNMORNSNPPKRNKONJPLKGOMOQQOPQMSQMLGNRRMONPRKORMOOLLOQQPPNQNPNPQORNNKNOPQNQPLPPNQONROQNLSSQMONLOQPQRMRNLMOOSQPQKPLOMMLOLOMSKOROPLQRPPPRNOMNNQQPKQPHLOKNKPPNQNOKNRQNMRPPJPUQNLMJOPONLPKNPMMTPRNLNMLOPSRRNMMLLPTNJOPQQQRPNRPOMNPPPSRMONPPMMOOLPORMTP	nixli;bakni
xlima'i	$x_1$ is September of year $x_2$ in calendar $x_3$.	Cf. {sozymasti}, {kanbyma'i}, {nanca}.	lujvo	September		OOQOPQOLQOSHOOPMKPQLPMPQPRMNQTLROMQSNKPRKLROPQPQKSOQKPPOOLONMTPNLOPMOMQPQONPPNOOOQQQQQKMMMQQOUJNPPLOMQMSLOLLLNMJMMOQNOPQORLOLLSOPPRNMNKOMOOKKLQNMPMPNLNMPPRPNQQLONONROMQMJMNQRQKTJPNONRMPOOOPLQOLLPQSONORKSQTMQRLPROQPRQQMLNTOLOMQNNKHOTQPMOMOQQSSHTPNKLMOQOSOKIKMMNNNMOQMNSPOORQPOKPNSQPNONMSPONMQNSOPOGPKOORQNKONOKKRPPONRKPQOQRNMQLRNURTONPMPNRQONQSNLNMSMMOPPLNOPPMNTNOROMNNOMLQPMNQMNMOQONO	nixli;masti
xlusku	$x_1$ suggests, tempts $x_2$ (assertion) into recipient $x_3$		lujvo			MOTQTNVNQMQJVRTPQMRNPPOOOMNRPQMUKRNTLNNOKNPONQRSKNMOQPNNONLMNNNNNPORMSROIRPPQLOOKMPPMQMKPOQKMRMOKLJQOVNJOMQLQNNLPMMOMONLPPLONKQOOTRQMPLQKLOOOQMQMTNRPPMNMORSQNNPMQMSPOQPSPPROPNLPNRPQRPKMSQMOJONOLMMONNRONNIPPTMOJNQQRSNPMLQNRNOOTOROLSNPMKJONMOPOKOOLMNORUPNLNOKPPOQROTRNNROMPJSORMLNOONNRLNQROOLQOSLOPNLRMPKPNKNQPQLNRLRONRLNOLLSNNPOMQKOQMMQMOMKNNQNNOSNSNONMPLRQQNQKPMKRPLSMNPOLPRNPOQRNTQPO	xlura;cusku
xluzerma'esazri	$x_1$=$s_1$ drives vehicle $x_2$=$m_1$ illegally according to people/culture/judges/prosecutor $x_3$=$z_2$ under influence of $x_4$=$xl_1$ (agent/property/substance) which affects driving with effect $x_5$=$xl_2$.	{xlura} {zekri} {ke} {marce} {sazri}	lujvo	drink-driving;driving while impaired;drunken driving		OOPQQNRNQLWNUPNOROLSQPOOMPOOTPKSMRNNRLQNPJPLPQNRLMLRPPPKMRMPPSTOKOMNNSQMPNLJTRPMKNNMMOKOPQQNRPPMQOONOUKQPNOOOMSNNKNQKQLMKNLMRLOONNMLNNMQNPTNIPRQLMKPONMRLOPQNQOQOPLNJOMQLKNKLPMKMMNOSPNLMPKMLKQQMLNOONOQPRPLONQQJNNLOTPMPLLMMPNONQNMPMTOQOFMLORNRPKTNLQQLPRQPNPQNOKMOJKJPLQSPOMMOLSPTSPOPMOQPRNSHNMPTMQPLOMOLPPNROMSMKPPOONQIPKOMMQNMOPOQOSNONKOPQPSQMPPQOMQLKOPPOOPOMPSNNQRONNQQNONMNNQRSOMTTSO	xlura;zekri;marce;sazri
xozbe'i	$x_1$=$b_5$ is the means/medium by which $x_2$=$b_1$ transfers/sends/transmits $x_3$=$b_2$ to receiver $x_4$=$b_3$ from transmitter/origin $x_5$=$b_4$.	{benji} with $x_5$ promoted by means of {xo'ai}, resulting in a different place structure from the otherwise identical {xelbe'i} ({xe} {benji}).	lujvo	means of transfer;means of transmission;medium of transfer;medium of transmission		QLPPQKRNSMVMWPNMONLPQPOQQPMLTPIQLSLRQKOPMJQNJTPPJMOPKTRNPQPNMSRNNNLSMPPNNQPKTRMRMMMMORMMNMLOOQNLPOSNQQPOLJOOPMNLMMMQKQNMONNPQMQOKRMNKPNPQNOSISOOONPONOMQPMNMLOORNNKNPNOOPMJMNPNIMLPNRPRKNPKPPKTOSLNPPNMPQROKLQPSHQKJOSQMMOLPOQOOMTMOLMSQOSKMJMLMRQMQMLNNNOPRNPPNPPLMSPNMOMPROPMKOKUOQMQRQOQNPKMNJPRMOQPSOMNMNOOONONMNNQQMLMOMMLONJNJNSLMSMMNOPPONNQORONPQOPRPKPMPQPRRNPRQLNQRSRRMOSPPOOOOQQPQTPQ	-xoz-;benji
xraci'a	$c_1$=$p_3$ draws picture $c_2$=$p_1$ on medium $c_3$=$p_4$ with implement $c_4$ depicting $p_2$.	Cf. {pixra}, {ciska}, {xraselci'a}, {xratai}, {kacmyxra}, {kacmyterxra}, {kacmyxragau}, {kacmyxrazu'e}.	lujvo	draw;illustrate;sketch		OPQNOOROOLTJTSQPPMNOQLPMSNPMVPLQNSPSPNOQNLPLOQMQKNKNKOSPOMOJMTRPNNNOPOPNQOONSOOLMQNQPSIMMOPONQPLRMLOPOQONKNNPLQJOMNNNNPLQPLOOKNOPOPNNONOMMPOIXONPQNPNMMPMTROKONPPOKLOOPPONLOPPOOLKQPQQRHONKOPOPSOOOKONLRQOMKONNSJOOKMQVMNMHNPOOONTNNMKUPOQMLJNSNOOKPNMNQNSSONONKPRNLRKNLRKNUKPOLPNPJRKQPPNRPQKONNOONNNRTPOONOSRPNMONPPOQLOORNOPOLMRIMNRLRKRLQOQMNROOPOMNMPLSNPQOSQQNNNOPRMOPTPTNNRMPPMMLSSPRNTOQ	pixra;ciska
xragreku	$g_1$ is a picture frame holding picture $g_2$=$p_1$.		lujvo	picture;picture frame		OPNNPNTPUMXPTQPPLMMPKOPOORKMTONPPSQTQKMQJMSPPTLPMMLPKOQQQONQOUQSOPJMNLOMMQMLSMQOMOPPPPMNLNNNPTMNPOKQSPRROMNOPJNKLMLKMOPJPOLMMKNOPOTNONNQLPPNKSRMMOPRNMNPPQSOKPNOMOMJPNNQMOJQOPQOKKRMOOQKNQMNOOPQONOLOONPSONMOQMSKOQONMTMNNJOQQMORRLMOKTPMMOMMNQQTNIRQMNQNTSLNOKJPPPMPKMNPOPVQONPQPMLRNPQLOQOQLMOMNMOLOPSPRNNQPUQMLNONONQONMROQSONMQIOPOMSKRPKOMOONRPQMTNKNOPNLOORPSPNLQMRLNRTRTOMNPMOPOOUORPOQOO	pixra;greku
xrakarni	$k_1$=$p_4$ is an illustrated magazine/journal with content $k_2$=$p_1$ published by $k_3$ for audience $k_4$.		lujvo	magazine		PNQTOMPKTMUMVOOOPONQNQRSPNMNRPOQMQQQRMROMJOMORKPJQMNMMSOKPLOQRPRMQNRPNOMOQOOVNOQLPOOLNMMPOOPROQNQPLMOQNOMJNMOKPMNIOONMNMLNNMQKOOPRQOMONNLORSGTORKPLOMKNRPQQNJQNPMMJLMROQOMLMMSNJOKRNNRSKPOJMPMRQOONONOMOSOMMONOTLPNKOQSMQMKPOQMOOQOOMMRRPOKLJQPOTMJTPLMPPQVPQLPMQPLLPLLNPKMSOMNKRLTLRQOQJPOPPPKQGLOOMMRQOOKPNNOPOOMQNNOQMOOPKQNOONPLNQQOROQMKPMKNOROROOKNQNPMNONQPQOSMMQPLNROQTOPPQMQMKPQRPPTPPP	pixra;karni
xrapoi	$x_1$ is a video which depicts $x_2$ and is created by $x_3$.		lujvo	video		MKPMQOQNWMVMSQPONKMNSMOPPPPRVOLQQQNRRNNNKLTNOUOMLNJPLNQOMMOOOURRONNMPNMNLPJMSNNNPPQPMRNLMNKQOPMLQMPPQPRQOKOPROPLLLNQINLOQOLNOJPOQOPNOQOPLORLIUPOMOKOMPQONPSMMPONNMMMONNRPOIMNQQMLKROQOQMOOLNOOOQMOQOQPNPSMMMLOOSKMQMPNRLPNIOQONOLTMOMLUQPOLJJNOMSOJRPNNOOSUQRNPNMOMLPLNLQPOTOOMNNMPMRLOOMQSNQMMNMPPRONQSMOMNMMQPMLPPPOOSMQNQJRPOLLPLMQPNUIPNKPMNOPQRQORLJQNQLMPPRMROOOQNSNORPQQKNONOPNQPSQOOSSSO	pixra;porsi
xrarucyca'a	$c_1$ is a GPU (graphics processing unit)/graphics card.	Cf. {rucyca'a}	lujvo	GPU;graphics card		LNNOPJROSKUNROOOOKOOQOMOOQROTRMRQQPRQHMMLMRPPRLKKOPQLONQNMLPOQRRNLMKPNONMQLPTMRNMOPPRQNNNMKOQRPMSMJQORPRLOMRPLOMLLMNLOPPLMKNOKNOQOPLLPMNMQPRKTRMNQOMPSOOPUNQMQQNJOKNNNORNOLKLPQKNKLOQPRHORNPKMOQLLOONPLOTQOOLQLRIMKNMPRMOMJOPQNOMPNPNLTONMNRMNQPQMKSPNMMQSSMRNONMPPLRMMNRNPVPQOLOMOMSOONMQOMSMNPJPNPPLQSOQLMOKSQONOQPLOSPJMSMRMONJQNNONLSMTNLNROORSPQPSLKPSONMPOQPTRSNTNQLLPPPNNOOMPLQOPNLOMPRRN	pixra;pruce;cabra
xraselci'a	$c_2$=$p_1$ is drawn by artist $c_1$=$p_3$ on medium $c_3$=$p_4$ using implement $c_4$ depicting $p_2$.	Cf. {pixra}, {ciska}, {xraci'a}, {xratai}, {kacmyxra}, {kacmyterxra}, {kacmyxragau}, {kacmyxrazu'e}.	lujvo	drawing;illustration;sketch		PPQNNOROOLRJSRPPPMNQRLPMSNPMWPMQNSPQPOPPMMPLOQLRLNKNMLRPPNOJLRRPMMMNPOQNPPPOSPNLMPOQPTJMNPQQMQQLRNKOONROMKNNOLSKONPNNMOMPRLONKNOONOMMNNOMMQOJXOOPQOOOLNPLUQPKPMOPNKMQOPOPNNNOPOOLLPRRQSIONLPOOPRNONKPNLQQPMJOOORJPNLLQVNNOIMPOOOLTNNMKSOPQMLIMSNNOLOMNNPNSRPOPOKORNJPKPLRKNTKPOMPMQJSKPPQMQPPMOMOPONNNPUPOMNORRNNMONQONQKQORNPNOLNQIMORLQKRLQORJMQNMPNLMNPLSMQPQRRQNPNNPQNOOSOTNOSMPPMNMQSQROSPQ	pixra;se;ciska
xrasni	$x_1$ is a (visual) symbol/icon/logo representing $x_2$	Refers to the abstract form or idea of a symbol. To refer to a specific instance of a symbol at a given time and space, see {snixra}	lujvo	icon;logo;symbol		NNQPNNQMVKTLTNQQMKOOROLQPRPNSRJONRNTQMQNLMQOOSOMKOOOLNQOOOMNPUUPNOLOOOONLPMNTPQNNRMPQRLNOONOQRQNRNNPQPOOQNPJQMPKKNKQKMNNMOKMPMMOOQNMNOONMQQNLTONPNLLMNJQOQPPLOOQMOKKONOQQMKPOPPKMHOMPPQKNPKLNKSPMOORPPPNSNNLPPMUMMMKQOUMNJJOOQKONSQMNJSPJPKNLNNOQNLROKONNSSLONMNPMPLQKNMPJPTPOMMNPPORPNQKPPQOKPQJOOONNPSLQMLPOPRMNMQMLMTNMMPKSPOMNSIORNLSNPOJMNNMOSRSPOLNPQRLMNQRNOQPLOPTMOPPQQQOOOPMOMPQRONSQPM	pixra;sinxa
xratai	$t_1$=$p_1$ is an image of $t_2$=$p_2$ created by agent $p_3$ on medium $p_4$.	Cf. {pixra}, {tarmi}.	lujvo	image		OQQQPLSMRMWKVPPOMMKRONPNOPPMTPNPNQSVPOSQNKPMPSMOLMHPJORONMLLNSSPNONMPLOMPNJOTOQNMPPQLRMLPNPOPRRONOKPONLQOLPLQKOJNLOOMOLKPNLNRKNOORRMLONOKNPOGULOMPNNMNMQNPQNMPNQOQJNNONRPPOMPOMLNJQPRQQJMQKOOLPUOLORMPMROPMJOMMSJQNLOQSMPPJNNQJOLPMNMKSQPRMMKNOOSOLRPPMOOTVTQONNMPOPMLNMQKNTOLOLPMQLQNPPNOQNRMKQJPNQPOQPLQNMMOQONLOOONOSNNOOMPOOOMTKOMONRNSNNOQNMQQNOMPMMRLPLPRNROQPRLPOQNOPSQSNQMPNOMNNSSQPPSQN	pixra;tarmi
xrazme	$x_1$ is a carved pumpkin/gourd/melon/jack o'lantern with carved image $x_2$.	Not necessarily illuminated. See {pixra}, {guzme}, {zmelamdu}, {jadrdjekolenterne}, {guzmrkukurbita}.	lujvo	carved pumpkin;jack o'lantern		NQPQOJVLUKVKQOOOOONNPQQPQPOLPONOOQQOSMOQMJRMQTKOLNQPLOSQNOPSOTSRLKMKLMPNOLKPUNORQUQQMRLPLPNOMTOMSNIRQONONKMNRLRJMJNMNOKOOPNPPLPOQRQLNLNQJMPPHUPOMNNNMONQNQQOMPPPQQJMQNKPONLQKMPNPKMQQRSLMQNKMNPPLNLPPNRPSKNOQQQQOPNKOOSOOOIOPLNOQPLNPKOPMMHOOPSLQTOTLNLMNURKNLMLOQNNNKKMOMOSQOLQSOPMOONNMONPOLOPNNRRMMPPNOOMPORPKNNQNNPSMNMTMOPOQNNJOMRMQLPNNNPMOQQOPPQMJQPQNRPROQPPQMNOQJOPMOQMNQOONPNOUORPSOQQ	pixra;guzme
xrebau	$b_1$=$m_1$=$s_1$ is creole used by $b_2$ to express/communicate $b_3$, created from sources including $m_2$.	Cf. {sapxrebau}.	lujvo	creole		MMSPMLQMULWKRNROQOKNQQMSQOOLWQLSOPMSPKSOIKQLOQMQMNKRMOROLPNOMQSQJOOQOPLNQQNOUNOPMTPNKPMNQMNNOQQNOPNLQQOONLONQMNINNOQONNOMLMNOMSOOSNMMOOOLOSOHTKQLOOOMOMPNOQOKOOLOOJNRPORPMLNNOMLMIQOPSPLMQLQMLRPQLLSRLNNOSRKPPTSLONNNRQPQNJNOPLONTLQLNVPQOKLMPQNPPMULLJQORPQOPOPMOJLMOOMRLOQOPNKNNRNPPNPPONMMNNONQRPRLRPNMMPKKPQOLLKNNPRNOMNIPPOPPQLONPNSNNMLNNONOQQQNOONPOSOJOOOOPPQJQPQOMNQQQQNNPPMNPPMRRONTTL	mixre;bangu
xrejvejdikybau	$x_1$ is a pidgin/Creole language/dialect formed from reduction and conmingling of superstrate languages including $x_2$, used by $x_3$ in order to express/communicate $x_4$ (si'o/du'u; not quote)	See also:  {pirdjgine},  {kre'ole}, {xrebau}	lujvo	creole;pidgin		LMTOMMSLVMUOROTPPNNNQRMPQNOKTRMQMQNTQKQPJKQKPRMQLLMPNQQPLQNPMQUQMPLPMPMNNRPNVLNNORPOKOMNPPLPMROMOPNORQNMOLMMPNOGLNNQONKOMPMQONPOPRMNMQNMKOSOIRMOMQONLSPQPQPMLONMMOLLPONRONMOKMNKNJNONSPJNOLPOJQPQIMRQOMNTSPLSRQRMNNMOQQOQMHNOPNONTNPLMVRMOJKRPPPQNMSMMMQNPOLPONPMOLNPOLLQIMQPQLMLPQMRPNNNPOOPLPOMOQPPLSRMONQLMQSOOONONOUONLPJQOOMMPKONOPTNNMLLMNMQSPQMNOMPQSLJNMPMPSPIRQSPMONPPMNPOOOMPQOQPNOUPM	mixre;je;jdika;bangu
xremi'i	$x_1$=$min_1$ is a blender/mixer for ingredients $x_2$=$mix_2$ to produce mixture $x_3$=$mix_1$.	not necessarily for food. Cf. {mixre}, {minji}.	lujvo	blender;mixer		MJQRMORMRKVKVLPMROJNOQORQQOMTQORQQPQSMOMNLQLNQJKMMMOMNQOLMMRMPSOOLLQOPLMORONVLPSKOLOMQKNQMLOSPQNONPNLPOMLKOOSMOMOKMPQLOMMOMQQLROMOQOOPNPOOQPHUPNOQNMKLNSNPPONNNQLOKNNQNPMNNMNONPQMPQTRQMPQLOLPOQONOQQPMNRQPKMRQRNQILJRPPQNKOOSJOMPMPNJUMQMOPNMNSNQLRMLMMNQRTPOQKONKLOKNMPNMXNPPJRLSPPMORLNNMMMQSJPNPOMSSROMMNLOPONNPLKOTOPNONSPOPLOMMOOJSQOOKPOLNQPQRPONPPNSMKPPNROPOMOPMMLPOSNPOPPPPMPPOOQMPRRM	mixre;minji
xrijvecirla	$x1$ is macaroni and cheese (wheat and cheese) from source $x2$		lujvo	cheese;macaroni		KNPQNMQMQLTJPKNPQQOOTNPSSTQNPOKOOMQQSJOOLNSOPOKQNPKLNLSOLJPRPRPQONMNMNPNOTMMVLORLPNQOQLQPOMMPPPLONNQPMOMKNOMSPNMKKKQOMPONSLQQKQOMOTLRLPOLNMMIPOQLNNQNPOPKONNNQNPNOKMOMMUNMMONNOLNJPPNROOPQNQRPRNNPPNQRNLTPPNLQOQONOMKUPMQPJMPNKOOPPOIKNOPONLNKQTTTLOQPLMNNSRPMJKNKMPKMPQNNPWMQMMQMROQMORIPPOMOONSQJNRONRNQJNNMPNOMOROPRTQRMQNPNOOLLQONLNSPNUKPLOPSSPQQOLNQORPONNMPPPILOKPLOQLQNPMNPOPOOPRMNOSOSQ	maxri;je;cirla
xelveto	$x_1$ is Swiss in aspect $x_2$.		fu'ivla	Swiss		MPOROMUOSLRLQOOMPJNNPOSPRNNLTLMQNQPSQLOONMPLPSMPNQMPNOMPPLNQOPOQMOLMLOOLPTPMQNOOONNQSQLMONONSSOLTSLSPPNQNLNMTMKLPLNONJQLPNKPOONOPSUNKPMNKJPLKOPOPPNPQOOQONPSMPOPNONPPNNPPMJMNQOKOJNQNPTNORLQQMPRMMORQMOPRULONRRQLPNOMPWJNOIMQOJONONPLMYSNPPOPNTPSSPRPMLPLRMPKMMPLOKMLNNNOMNTSKMONKQMRNPPLOMNPQOONJLORMOSKQLNMQPOJPNPLPQQPOLONQRONOPLONNIQOLONMKNOUQRPROPMOPOQNMMRLRPNMRRSPORNOLNNORONNPPMNLPSNPQ
xermeti	$x_1$ is hermetic not allowing $x_2$ in		fu'ivla			ROQOLNTORPTLRQRQNKKPPOPQNPMOQNKSNRQSONQMJIRMNPOQONJQNNLONONIPQOPLNMLMSTNLSRRTNROOMRQORJLOOSOOPPMPOKSPPKSMMRMRMQMQKMSNLONOOLQOJOONRPIKQMOMMLLLNSPQONNRLNPJUSQPROMPRMPOQOPONLPOPPOLKOUPORPPPMPPNPPPMQOPNKOQTJMRNRMPOMPPNQLPOLNQNJOKRLOPMSQSPPJNMPPRSMSLOMRMQQPOONPKOOLHMOORLOTQMLNRNNLRMRPRLOMONONPMNOQNOOLOMRLOSQMQQKPLQTLNPOPMOOPLOKMOOIRMNOLLKKNQMMMOPINQMPLPQPPNKMTPOMRNLRNPROPONNOKQRRRLORQTN
xetmele	$x_1$ is HTML, used by $x_2$ to express/communicate $x_3$	See {sambau}	fu'ivla	HTML		NNROPKPLVMUOUPRRPMPPPQMQRNNOTQNMQSMUNJPNKKQLOOLNKLLOMOQONMNOORROLOMQMOMMNOOLUOOQMSOQORKMNLPOORKORPMPROLNNKRRQLNIKMIOMNPTMQLNPKQOPRQMNPNLMOTMLROOLQOOLNPQPRPRLPPPNOKNRONPPNNPNOLKMINPQRQKNONPMLROOKOPQMNQSSNLNPQSMMONOOPLOQKNLNLONUKPKOVPOPLOKNPQQMNQOKNQQPPPOPPPNRONNOQNTNRUNPLJPMQKQMMQLOMNONNQKOPNONQSNOKNPPNORPMMPMOSJLNPLRNONKPJNPPLSMQOKNOOMOROPOLORQNRLKQMPQPPPJQOUPLPQRPNNNRLOOOPRQRNSVQM
xextane	$x_1$ pertains to the Xextan language/culture/community in aspect $x_2$	Xextan is a simplified logical language loosely based on Lojban/Loglan. More info here: https://xextan.github.io	fu'ivla	Xextan;Xextanic		PMPMRLTMSMWLSOSQLMPQROORPSRLRQKTPRMTPMPMJJQNPRMQIQPNNNRMLONNPSQPPMOOMMNNPPMNVNNNMTQRNPNNORNPRQRMQOPOQQMPNGMLPKNKNNKPPNOMMQKPQNPOORMMNMOPLOQOJNOMLOLOOPNQMSROLPNLPPNNONPPLNNLOPOMNKNOQORLNSKPOLRONNKNSNNNUSOOLQPOLOPONPSONMKLOMNOLQKMLLSROPLONPNQQQKSPLLOPQRNONMKPMMIPOLONLOTOSNLOORMTOOOMONONLQQNNPPNLSPIMLQPLQPPNOOOOPWOMLPKNPOIKMMOQPOSPOPKKPMRTORQONKNOOROMNPPNLTPNROQKOQPRNNOLPPPMOSPPRORTSN
xilbate	$x_1$ is a gibbon of species $x_2$.	cf. {smani}	fu'ivla	gibbon		JLQQJMUOPRSKPQPPOPOPPTOOOMMNTSQOPQQQQLURNPMMPONONLKKJNPQNJQNMTQQLQLPQORLPNJKTOOMKORPPPMNKLOOQSONQNLSOQQPNPMQQLOLKNNNMQKPPQLPOMOOQQPKOPLNKQONIQNTIQQNMPPNPOQLNRNMNOJLOIPRQONPOPRNPONOPQNLPUOPQKPOPNJQPMKOQOPJQOJPKQMNPSUPPNMOOLLOJPKRNIPQMOMPNJQPPQLNSKKLMSPNSPOQKLOOLMNQPPRTPPQQMLOMQKONPOMLPOPROOKQRNQPKLNUKLPPNOONOLNUPNOORMNOLQPNOOOMPPTOLQPPOQPOOQQOLPNTLQQQLOQPMOSOPMNTPQTPNPPNNNJQLONLPOPO
