@rowCount	5743
w	d	n	t
truth	[object Object]	(true facts)	n
truth be told	verdade seja dita	(when admitting something one might otherwise lie about)	interj
truth or dare	verdade ou desafio	(game where players perform a dare or answer a question)	n
truth table	[object Object]	(table showing all possible truth-values for an expression)	n
try	esforçar-se	(to work on something)	v
try out	provar, experimentar	(to test something)	v
trypanosome	[object Object]	(any of a group of protozoan parasites transmitted by biting insects)	n
tryst	[object Object]	(prearranged meeting, now especially between lovers)	n
tsao shu	{grass script}		n
tsar	[object Object]	(a person with great power; an autocrat)	n
tsardom	[object Object]	(the territory ruled by a tsar)	n
tsarina	[object Object]	(empress or wife of tsar)	n
tsarism	[object Object]	(a system of government ruled by a tsar)	n
tsaritsa	{tsarina}		n
tsetse	[object Object]	(fly of the genus Glossina)	n
T-shirt	[object Object]	(type of shirt)	n
Tskhinvali	[object Object]	(capital of South Ossetia)	prop
tsk tsk	{tut tut}		interj
T-square	[object Object]	(rule with a short perpendicular crosspiece at one end)	n
tsunami	[object Object]	(large, destructive wave generally caused by a tremendous disturbance in the ocean)	n
Tsuut'ina	{Sarcee}		prop
Tsuu T'ina	{Sarcee}		prop
tub	[object Object]	(broad, flat-bottomed vessel)	n
tuba	[object Object]	(a large brass musical instrument)	n
tube	Tube	(the London underground)	n
tubercule	{tubercle}		n
tuberculosis	[object Object]	(infectious disease)	n
tuck	rapier	(short sword)	n
tucker	grub	(slang: food)	n
Tuesday	[object Object]	(day of the week)	n
tuft	[object Object]	(bunch)	n
tufted antshrike	[Brazil]: borralhara	(passerine bird of the antibird family)	n
tug	{tugboat}		n
tugboat	[object Object]	(small, powerful boat)	n
tughra	[object Object]	(signature of an Ottoman sultan)	n
tug of war	[object Object]	(game)	n
Tula	[object Object]	(town in Mexico)	prop
tulip	[object Object]	(plant)	n
tumble	cair	(to fall end over end)	v
tumble drier	{tumble dryer}		n
tumbler	{acrobat}		n
tumbleweed	[object Object]	(plant which breaks loose and is driven by the wind)	n
tumescent	tumescente, intumescente	(swollen or distended with fluid)	adj
tumor	[object Object]	(oncology, pathology: an abnormal growth)	n
tumour	{tumor}		n
tuna	[object Object]	(fish)	n
tundra	[object Object]	(flat treeless arctic region)	n
tune	afinar	(to modify a musical instrument)	v
tune out	{zone out}		v
tungsten	[object Object]	(chemical element)	n
tuning	[object Object]	(the calibration of a musical instrument to a standard pitch)	n
tuning fork	diapasão	(fork-shaped object which emits a tone)	n
Tunis	[object Object]	(capital of Tunisia)	prop
Tunisia	Tunísia	(Republic of Tunisia)	prop
Tunisian	[object Object]	(person from Tunisia)	n
tunnel	[object Object]	(an underground or underwater passage)	n
tup	{fuck}		v
Tupi	[object Object]	(the Tupi language)	prop
tuple	[object Object]	(in set theory)	n
tuplet	[object Object]	(note value with a non-standard duration)	n
turban	turbante	(man's head-dress)	n
turbinal	{nasal concha}		n
turbinate	{nasal concha}		n
turbinate bone	{nasal concha}		n
turbine	[object Object]	(rotary machines)	n
turbocompressor	{turbocharger}		n
turbojet	[object Object]	(type of jet engine)	n
turboprop	[object Object]	(type of gas-turbine aircraft engine)	n
turboshaft	[object Object]	(gas-turbine engine designed to transmit power by means of a geared shaft)	n
turbot	{triggerfish}		n
turd	[object Object]	(a piece of excrement)	n
turf	relvar	(to create a lawn by laying turfs)	v
turf accountant	{bookmaker}		n
Turin	Turim	(city)	prop
Turing machine	máquina de Turing	(abstract machine)	n
Turk	[object Object]	(Turkish national)	n
Turkestan	[object Object]	(a historical region in Asia)	prop
turkey	[object Object]	(stupid person)	n
Turkey	[object Object]	(country at intersection of Europe and Asia)	prop
Turkish	[object Object]	(official language of Turkey and Turkish Republic of Northern Cyprus)	prop
Turkish Angora	[object Object]	(A domestic cat breed)	n
Turkish bath	[object Object]	(steam bath)	n
Turkish delight	[object Object]	(confection)	n
Turkmen	[object Object]	(language spoken in Turkmenistan)	prop
Turkmenistan	[object Object]	(Central Asian country)	prop
Turks and Caicos Islands	[object Object]	(a British overseas territory in the Caribbean)	prop
Turku	[object Object]	(A city in Finland)	prop
turmeric	[object Object]	(spice)	n
turn	tornear	(shape (something) on a lathe)	v
turn a blind eye	fazer vista grossa	(to ignore or deliberately overlook)	v
turn around	dar a volta por cima	(to reverse the expected outcome of a game)	v
turnaround	[object Object]		n
turncoat	[object Object]	(a traitor)	n
turn down	recusar, rejeitar	(refuse, decline, deny)	v
turning point	T-junction	(a T-junction)	n
turn into	tornar	(transitive: cause to become)	v
turnip	swede	(yellow root of Brassica napus)	n
turn of events	[object Object]	(deviation from the expected)	n
turn off	desligar	(switch off appliance or light)	v
turn on	ligar, acender [light source]	((transitive) to power up)	v
turn one's coat	virar a casaca	(to turn against a previous affiliation of allegiance)	v
turn over	virar de cabeça para baixo , entregar , completar		v
turnover	[object Object]	(rate of change or replacement)	n
turnpike	[object Object]	(toll road, especially a toll expressway)	n
turnstile	[object Object]	(rotating mechanical device)	n
turn up	aparecer	(to appear unexpectedly)	v
turpentine	[object Object]	(volatile essential oil)	n
turquoise	[object Object]	(gemstone)	n
turret	[object Object]	(a little tower)	n
turtle	{turtle dove}		n
turtle dove	[object Object]	(bird in the genus Streptopelia)	n
Tuscany	[object Object]	(region in Italy)	prop
tusk	[object Object]	(pointed tooth)	n
Tutankhamon	[object Object]	(Egyptian Pharaoh)	prop
tutor	tutelar, tutorar	(to instruct or teach, especially to an individual or small group)	v
tut tut	tsc tsc	(exclamation of disapproval)	interj
Tuvalu	Tuvalu	(country in Oceania)	prop
Tuvaluan	[object Object]	(language)	prop
Tuvan	[object Object]	(language)	prop
tuxedo	[object Object]	(formal suit)	n
Tuzla	Tuzla	(a city in Bosnia and Herzegovina)	prop
TV	[object Object]	(abbreviation for television)	n
Tver	[object Object]	(city)	prop
TV guide	[object Object]	(something that tells what's on TV )	n
TV series	{series}		n
twat	[object Object]	(vulgar slang, vagina)	n
tweak	[object Object]	(trouble; distress; tweag)	n
tweed	[object Object]	(coarse woolen fabric)	n
tweedy	{preppy}		adj
tweet	twittar, tuitar	(internet to post an update)	v
tweezers	[object Object]	(small pincer-like instrument, usually made of metal, used for handling small objects)	n
twelfth	duodécimo, décimo segundo	(ordinal form of the number twelve)	adj
Twelfth cake	king cake	(cake eaten on Twelfth Night)	n
twelve	doze	(cardinal number 12)	num
Twelve Labours of Hercules	[object Object]	(the series of labours)	prop
twelveth	{twelfth}		adj
twelve-tone technique	[object Object]	(system of musical composition)	n
twentieth	[object Object]	(portion of whole)	n
twenty	vinte	(cardinal number)	num
twenty-eight	[object Object]	(number)	num
twenty-first	[object Object]	(the ordinal form of the number twenty-one)	adj
twenty-five	[object Object]	(twenty-five)	num
twenty-five past	uma e vinte e cinco	(twenty-five minutes past one)	n
twenty-four	[object Object]	(cardinal number)	num
twenty-nine	[object Object]	(cardinal number)	num
twenty-one	vinte e um	(cardinal number)	num
twenty-seven	[object Object]	(twenty-seven)	num
twenty-six	[object Object]	(cardinal number)	num
twenty-third	[object Object]	(the ordinal form of the number twenty-three)	adj
twenty-three	[object Object]	(twenty-three)	num
twenty two	vinte e dois	(22)	num
twenty-two	[object Object]	(twenty-two)	num
Twi	[object Object]	(language)	prop
twice	duas vezes	(two times, see also: two, see also: time, see also: alt2=times)	adv
twiddle	girar	(to wiggle, fidget)	v
twig	[object Object]	(a small thin branch)	n
twilight	[object Object]	(time between daylight and darkness)	n
twilitten	twilit	(illuminated by twilight)	adj
twin	gêmeo	(forming a pair of twins)	n
Twin Towers	[object Object]	(the two main buildings of the World Trade Center)	prop
twist	torcer	(to turn the ends in opposite directions)	v
twisted	confusa	(contorted)	adj
twisty	{curly}		adj
twitch	couch grass	(Elymus repens)	n
twitter	twittar	(to use Twitter)	v
Twitter	{twitter}		v
two	[object Object]	(set or group with two components)	num
two beers, please	duas cervejas, por favor	(two beers, please)	phrase
two-edged sword	{double-edged sword}		n
twofold	duplo	(double)	adj
two hundred	[object Object]	(cardinal number 200)	num
twoness	{duality}		n
two o'clock	[object Object]	(the start of the third hour)	n
two-sided	{symmetrical}		adj
two-spirit	[object Object]	(Native American who is transgender or belongs to a third gender)	n
two-stroke	a dois tempos	(determiner)	n
two thousand	dois mil	(cardinal number)	num
two-wheeled	{birotate}		adj
-ty	{-ity}		suffix
tycoon	magnata	(wealthy, powerful business person)	n
tye	[object Object]	(a knot)	n
tympanic membrane	{eardrum}		n
tympanum	{middle ear}		n
type	datilografar	(to use a typewriter)	v
typewriter	[object Object]	(machine used to print text by pressing keys)	n
typhoid	{typhoid fever}		n
typhoid fever	[object Object]	(illness)	n
typhoon	[object Object]	(hurricane in the Pacific)	n
typhous	tifoide, tifoso	(of or pertaining to typhus)	adj
typhus	[object Object]	(disease)	n
typical	típico	(Capturing the overall sense of a thing)	adj
typically	tipicamente	(in a typical manner)	adv
typify	tipificar	(to embody, exemplify)	v
typist	[object Object]	(person who types)	n
typo	[object Object]	(error)	n
typographer	{typewriter}		n
typographic	typographical	(typographic)	adj
typographical	{printed}		adj
typography	[object Object]	(art and technique)	n
typological	tipológico	(Of or relating to typology)	adj
tyrannosaur	[object Object]	(large bipedal carniverous dinosaur)	n
tyrannosaurus	[object Object]	(dinosaur)	n
tyranny	[object Object]	(office or jurisdiction of an absolute ruler)	n
tyranny of the majority	dictatorship of the majority	(situation where majority makes selfish decisions)	n
tyrant	[object Object]	(oppressive and harsh person)	n
tyre	[object Object]	(wheel covering)	n
Tyre	Tiro	(an ancient sea port and city state of Phoenecia)	prop
Tyrian	tírio	(person from Tyre)	n
Tyrol	[object Object]	(state in the west of Austria)	prop
Tyrolean	[object Object]	(someone from Tyrol)	n
tyrosine	[object Object]	(nonessential amino acid)	n
Tyumen	[object Object]	(a city in Russia)	prop
übermensch	[object Object]	(figure in Nietzschean philosophy)	n
Ürümchi	Ürümqi	(Capital of Xinjiang)	prop
u	[object Object]	(name of the letter U, u)	n
ubiquitous	[object Object]	(seeming to appear everywhere at the same time)	adj
ubiquity	[object Object]	(omnipresence)	n
udarnik	[object Object]	(shock worker, super-productive worker in the Soviet Union and the other countries from the Soviet Block, see also: Stakhanovite)	n
udder	úbere	(organ formed of the mammary glands of female quadruped mammals)	n
Udi	língua udi	(language)	prop
Udine	Udine	(capital)	prop
uey	{U-turn}		n
Ufa	[object Object]	(city)	prop
UFO	[object Object]	(an unidentified flying object)	n
ufologist	[object Object]	(person who studies UFOs)	n
ufology	[object Object]	(the study of UFOs)	n
Uganda	Uganda	(Republic of Uganda)	prop
Ugandan	[object Object]	(A person from Uganda or of Ugandan descent)	n
ugh	agh	(to express disgust)	interj
ugli	[object Object]	(cross between a tangerine and grapefruit)	n
ugli fruit	{ugli}		n
ugliness	[object Object]	(condition of being ugly)	n
ugly	[object Object]	(displeasing to the eye; not aesthetically pleasing)	adj
ugly duckling	[object Object]	(one who is ugly, but who is expected to become beautiful as they mature)	n
uh	hã, é	(space filler or pause during conversation)	interj
uhlan	[object Object]	(soldier with lance)	n
Ukraine	[object Object]	(Eastern European country)	prop
Ukrainian	[object Object]	(language)	prop
ukulele	[object Object]	(small four-stringed guitar)	n
