@rowCount	5744
w	d	n	t
Kyoto	[object Object]	(Kyōto, Japan)	prop
Kyrgyz	[object Object]	(language)	prop
Kyrgyzstan	Quirguizistão	(Country in Central Asia)	prop
Kyōto	{Kyoto}		prop
la	[object Object]	(syllable used in solfège to represent the sixth note of a major scale)	n
lab	{laboratory}		n
label	etiquetar, rotular	(put a ticket or sign on)	v
labia	[object Object]	(folds of tissue at opening of vulva)	n
labialization	[object Object]	(labialization)	n
labia majora	[object Object]	(outer folds of vulva)	n
labia minora	[object Object]	((anatomy) the two inner folds of skin within the cleft of the labia majora)	n
laboratory	[object Object]	(room, building or institution equipped for scientific research)	n
laborer	[object Object]	(One who uses body strength instead of intellectual power to earn a wage, usually hourly)	n
laborious	[object Object]	(requiring much physical effort)	adj
labor market	[object Object]	(market with labor of workers)	n
labor relations	{industrial relations}		n
labor union	trade union	(labor union)	n
labour	trabalhar	(to work)	v
labour relations	{industrial relations}		n
Labrador	labrador	(Dog breed)	prop
labyrinth	[object Object]	(maze)	n
labyrinthal	labyrinthine	(like a labyrinth)	adj
labyrinthian	labyrinthine	(mazelike)	adj
labyrinthiform	labyrinthine	(having the form of a labyrinth)	adj
labyrinthitis	[object Object]	(inflammation)	n
lac	{lakh}		n
lace	enlaçar, laçar	(fasten with laces)	v
Lacedaemonian	[object Object]	(inhabitant of Lacedaemonia)	n
laceration	[object Object]	(an irregular open wound caused by a blunt impact to soft tissue)	n
Lachesis	Láquesis	(one of the Fates)	prop
lachrymal	lacrimal	(of or relating to tears)	adj
lack	faltar, carecer	(be without, need, require)	v
lackey	[object Object]	(liveried male servant)	n
lackluster	desbotado	(Having no shine or lustre; dull)	adj
Laconia	[object Object]	(region in the southern Peloponnese)	prop
laconic	lacónico [Portugal], lacônico [Brazil]	(using as few words as possible)	adj
La Coruña	A Corunha	(city in Galicia)	prop
lacquer	laca, laquê	(glossy, resinous material used as a surface coating)	n
lacrimal bone	[object Object]	(fragile bone situated near the eye)	n
lacrosse	lacrosse	(the sport)	n
lactase	[object Object]	(A β-galactosidase enzyme)	n
lactose	[object Object]	(disaccharide sugar of milk and dairy products)	n
lad	[object Object]	(a boy)	n
Lada	[object Object]	(a Russian car)	prop
ladder	[object Object]	(something that resembles this tool)	n
ladder snake	cobra-de-escada	(Rhinechis scalaris)	n
laden	carregado	(weighed down with a load, burdened)	adj
ladies and gentlemen	senhoras e senhores	(used to address an audience)	n
Ladin	[object Object]	(the Romance language)	prop
Ladino	[object Object]	(Romance language)	prop
ladle	[object Object]	(deep-bowled spoon with a long, usually curved, handle)	n
Ladoga	[object Object]	(a lake in Russia)	prop
lady	[object Object]	(woman of breeding and authority)	n
Lady	Senhora	(aristocratic title for a woman)	n
ladybird	[object Object]	(member of Coccinellidae)	n
ladybug	{ladybird}		n
ladyship	[object Object]	(Term of respect)	n
lady's man	{womanizer}		n
lagoon	[object Object]	(shallow body of water)	n
lagopode	{ptarmigan}		n
Lagos	Lagos	(former capital of Nigeria)	prop
lahar	[object Object]	(volcanic mudflow)	n
lair	[object Object]	(of an animal)	n
lake	[object Object]	(coloring agent)	n
Lake Ladoga	{Ladoga}		prop
Lake Michigan-Huron	[object Object]	(one of the Great Lakes)	prop
lakh	[object Object]	(one hundred thousand)	num
Lakshmi	[object Object]	(Hindu goddess of wealth)	prop
lama	[object Object]	(master of Tibetan Buddhism)	n
Lamarckism	[object Object]	(theory)	n
lamb	[object Object]	(young sheep)	n
lambada	[object Object]	(Brazilian dance)	n
lambda	[object Object]	(name of the Greek letter)	n
Lamb of God	[object Object]	(a title for Jesus that appears in the Gospel of John)	prop
lame	manco, perneta, coxo [Brasil], capenga [Brasil]	(unable to walk properly because of a problem with one's feet or legs)	adj
lament	lamentar	(express grief)	v
lamentable	lamentável	(deplorable)	adj
lamia	[object Object]	(monster in mythology)	n
lammergeier	[object Object]	(bird)	n
lammergeyer	lammergeier	(vulture)	n
lamp	[object Object]	(oil device producing light)	n
lampoon	{satirize}		v
lamppost	[object Object]	(pole that holds up a light)	n
lamprey	[object Object]	(a fish)	n
lampshade	[object Object]	(cover over a lamp)	n
Lancaster	Lancastre	(The House of Lancaster)	prop
lance	[object Object]	(wooden weapon used in jousting or tilting)	n
lancet	[object Object]	(surgical instrument)	n
land	aterrar, pousar, aterrissar	(to descend to a surface, especially from the air)	v
-land	[object Object]	(territory, country or region (suffix))	suffix
land ahoy	terra à vista	(interjection shouted by the ship's watch)	interj
land bridge	ponte terrestre	(isthmus)	n
landgrave	[object Object]	(renderings of Landgraf)	n
-landia	-land	(territory, country or region (suffix))	suffix
landing	[object Object]	(coming to earth, as of an airplane)	n
landline	[object Object]	(telephone connected by such a fixed wire)	n
landlocked	encravado	(surrounded by land)	adj
landlord	[object Object]	(person who owns and rents land such as a house, apartment, or condo)	n
landlouper	{vagabond}		n
landlubber	marinheiro de água doce	(someone unfamiliar with the sea or seamanship)	n
landmark	[object Object]	(a recognizable feature used for navigation)	n
land mine	[object Object]	(mine that is placed on land)	n
landowner	[object Object]	(a person who owns land)	n
landscape	[object Object]	(the pictorial aspect of a country)	n
landslide	[object Object]	(natural disaster)	n
lane	alameda	(passageway)	n
Langobard	{Lombard}		n
langsat	[object Object]	(fruit)	n
language	[object Object]	(vocabulary of a particular field)	n
language barrier	[object Object]	(barrier to communication)	n
language family	[object Object]	(set of languages)	n
language swap	{language exchange}		n
languish	definhar	(to lose strength and become weak)	v
lanichol	{lanolin}		n
laniol	{lanolin}		n
lansquenet	[object Object]	(German mercenary)	n
lantern	[object Object]	(case of transparent material made to protect a flame, or light)	n
lanthanum	[object Object]	(metallic element)	n
Lao	[object Object]	(language)	prop
Laocoön	Laocoonte	(The Trojan and the Argonaut)	prop
Laos	Laos	(country in Southeast Asia)	prop
Laotian	[object Object]	(language)	prop
Laozi	[object Object]	(influential Chinese philosopher and founder of Taoism)	prop
lap	[object Object]	(the upper legs of a seated person)	n
laparoscopic	laparoscópico	(Relating to laparoscopy)	adj
La Paz	[object Object]	(capital of Bolivia)	prop
lap dog	lapdog	(a small dog)	n
lapel	[object Object]	(each of the two triangular pieces of cloth on a suit)	n
lapidarian	{lapidary}		n
lapidation	[object Object]	(act of stoning, sometimes to the point of death)	n
lapis lazuli	[object Object]	(precious blue stone)	n
Lapland	[object Object]	(region in Scandinavia)	prop
lappet moth	{eggar}		n
Lappland	{Lapland}		prop
lapse	[object Object]	(a termination of a right, etc, through disuse or neglect.)	n
laptop	[object Object]	(computing: a laptop computer)	n
laptop computer	{laptop}		n
lapwing	[object Object]	(bird belonging to the subfamily Vanellinae)	n
Lara	[object Object]	(female given name)	prop
larboard	[object Object]	(The left side of a ship)	n
larceny	[object Object]	(law: unlawful taking of personal property)	n
larch	larice, lariço, alerce	(a coniferous tree)	n
lard	[object Object]	(fat from the abdomen of a pig)	n
large	grande	(of greater size, see also: big)	adj
large bonito	{skipjack tuna}		n
large intestine	[object Object]	(bodily organ)	n
largen	{enlarge}		n
large-scale	em grande escala, em larga escala	(large in amount, scope or extent)	adj
large-tailed antshrike	[Brazil]: borralhara-assobiadora	(A passerine of the antbird family)	n
La Rioja	[object Object]	(autonomous community)	prop
lark	[object Object]	(bird)	n
larva	[object Object]	(a stage of growth)	n
laryngeal	[object Object]	(laryngeal sound)	n
laryngitis	laringite	(inflammation of the larynx)	n
laryngologist	[object Object]	(a person who studies or specializes in laryngology)	n
laryngology	[object Object]	(branch of physiology)	n
larynx	[object Object]	(the organ)	n
lasagna	[object Object]	(flat sheet of pasta)	n
lascivious	lascivo	(wanton)	adj
lasciviousness	[object Object]	(the state or characteristic of being lascivious)	n
laser	[object Object]	(device producing beam of light)	n
laser beam	[object Object]	(light from a laser)	n
lash	eyelash	(eyelash; hair growing from the eyelid)	n
lass	{sweetheart}		n
lassitude	[object Object]	(lethargy)	n
lasso	laçar	(to catch with a lasso)	v
last	durar, aguentar, resistir	(to hold out)	v
last but not least	[object Object]	(An expression to start the last item of a list)	adv
lasting	[object Object]	(persisting for an extended period of time)	adj
Last Judgment	[object Object]	(judgment day)	prop
last name	{surname}		n
last night	[object Object]	(previous evening or night)	n
last resort	[object Object]	(The only remaining option)	n
last straw	a última gota	(small additional burden)	n
Last Supper	[object Object]	(last meal Jesus ate with disciples)	prop
last year	[object Object]	(year before this one)	adv
Las Vegas	[object Object]	(city)	prop
latch	[object Object]	(flip-flop electronic circuit)	n
late	tarde	(proximate in time)	adv
lately	{recently}		adv
latent	[object Object]	(existing or present but concealed or inactive)	adj
later	até mais [Brazil], falou [Brazil, colloquial], até logo	(see you later)	interj
lateral	lateral	(pertaining to the left or right of the body)	adj
latest	mais atrasado	(superlative of the adjective late; most late)	adj
latex	[object Object]	(milky sap)	n
lathe	[object Object]	(machine tool used to shape a piece of material)	n
lather	ensaboar	(to cover with lather)	v
Latin	[object Object]	(language of the ancient Romans)	prop
Latin alphabet	[object Object]	(the 26-letter alphabet)	n
Latin America	[object Object]	(parts of the Americas which speak Spanish or Portuguese)	prop
Latin American	latino-americano	(A native or inhabitant of Latin America)	n
Latinize	romanize	(to transliterate to Latin script)	v
Latino-Faliscan	latino-falisco	(An Italic language family.)	prop
latitude	[object Object]	(imaginary line parallel to the equator)	n
Latium	[object Object]	(region of central Italy)	prop
latrine	[object Object]	(a very simple toilet facility, usually just a pit or trench)	n
lats	lat	(currency of Latvia)	n
latter	segundo	(relating to or being the second of two items)	adj
lattice	[object Object]	(partially ordered set in algebra)	n
Latvia	Letónia	(Republic of Latvia)	prop
Latvian	[object Object]	(person)	n
laudanum	[object Object]	(the tincture of opium once widely used)	n
laudation	[object Object]	(act of lauding)	n
laugh	rir	(show mirth by peculiar movement of the muscles of the face and emission of sounds)	v
laughable	ridículo, risível	(fitted to exite laughter)	adj
laughing hyena	{spotted hyena}		n
laugh one's head off	morrer de rir	(laugh uproariously)	v
laughter	[object Object]	(sound (as) of laughing)	n
launch	lançar, arremessar, jogar, tacar	(throw, hurl, let fly, propel with force)	v
launder	lavar	(to wash and iron)	v
launderette	[object Object]	(place with facilities for washing that public may use)	n
laundromat	{launderette}		n
laundry	[object Object]	(that which needs to be laundered)	n
Laura	[object Object]	(female given name)	prop
laurel	[object Object]	(evergreen shrub, of the genus Laurus)	n
Laurence	Lourenço	(male given name)	prop
lava	[object Object]	(melted rock)	n
lavash	[object Object]	(a soft, thin flatbread)	n
lavender	[object Object]	(plant)	n
law	[object Object]	(written or understood rule)	n
lawmaker	{legislator}		n
lawn	[object Object]	(open space between woods)	n
lawn bowling	{bowls}		n
lawn mower	cortador de grama	(machine for cutting grass)	n
lawn-mower	{lawnmower}		n
lawnmower	[object Object]	(machine)	n
law of nature	{physical law}		n
Lawrence	Laurence	(male given name)	prop
lawrencium	[object Object]	(chemical element)	n
lawsuit	[object Object]	(case where a court is needed to resolve differences)	n
lawyer	[object Object]	(professional person authorized to practice law)	n
laxative	[object Object]	(substance with a laxative effect)	n
lay	deitar	(to place something down in a position of rest)	v
layabout	[object Object]	(lazy person)	n
lay down	desistir	(to surrender or yield (a weapon) by placing it on the ground)	v
layer	[object Object]	(single thickness of some material covering a surface)	n
lay figure	Joe Average	(unimportant person)	n
layman	[object Object]	(someone who is not a professional in a given field)	n
layperson	[object Object]	(one who is not intimately familiar with a given subject)	n
lay something at the feet of	responsabilizar	(to assign responsibility for (something) to (someone))	v
lay waste	devastar, vastar	(to completely destroy)	v
Lazarus	[object Object]	(New Testament characters)	prop
laziness	[object Object]	(quality of being lazy)	n
Lazio	[object Object]	(Italian province)	prop
lazurite	{lapis lazuli}		n
lazy	preguiçoso	(unwilling to work)	adj
lazybones	pessoa preguiçosa	(person who is lazy)	n
lazy eye	{amblyopia}		n
-le	-ejar	(frequentative suffix)	suffix
lead	chumbar	(to cover, fill, or affect with lead)	v
leaden	plúmbeo, plúmbico	(pertaining to or resembling lead)	adj
leader	[object Object]	(one having authority)	n
leadership	[object Object]	(capacity to lead)	n
leading diagonal	{main diagonal}		n
lead poisoning	plumbism	(chronic intoxiction caused by lead)	n
leaf	{tea leaves}		n
leaf beetle	[object Object]	(chrysomelid beetle)	n
leaflet	[object Object]	(small piece of paper with information)	n
leaf through	folhear	(to turn the pages of (a book) rapidly reading short sections at random)	v
leafy	foliáceo	(in the form of leaves (of some material))	adj
league	associar-se	(to form an association)	v
League of Nations	[object Object]	(International organization)	prop
Leah	Léia, Lia	(elder daughter of Laban)	prop
leak	vazar	(to reveal secret information)	v
lean	apoiar-se	(to press against)	v
Leaning Tower of Pisa	[object Object]	(the tower)	prop
leap	saltar	(to jump)	v
leapfrog	[object Object]	(children's game)	n
leap of faith	salto da fé	(act of believing in something despite proof)	n
leap to mind	{spring to mind}		v
leap year	[object Object]	(366-day year in the Gregorian calendar)	n
learn	aprender	(to make use of a bad experience)	v
learned	[object Object]	(having much learning)	adj
learning	aprender	(action of the verb)	n
learning disability	[object Object]	(disability which prevents the sufferer from learning in a typical manner)	n
leash	encoleirar	(to fasten or secure with a leash)	v
least	mínimo	(the smallest amount of)	determiner
least weasel	[object Object]	(Mustela nivalis)	n
leat	[object Object]	(artificial watercourse, canal or aqueduct)	n
leather	[object Object]	(material produced by tanning animal skin)	n
leatherback	[object Object]	(Dermochelys coriacea)	n
leave	deixar	(To transfer responsibility or attention)	v
leave alone	deixar em paz	(to stop bothering)	v
leave me alone	[informal] me deixa em paz, me deixa quieto	(stop talking to me)	phrase
leaven	[object Object]	(any agent used to make dough rise)	n
leave of absence	leave	(absence from work)	n
leave out	omit	(to leave out or to not include)	v
leave someone holding the bag	pagar as favas (lit., "pay for the beans")	(leave somebody holding the responsibility or blame)	v
Lebanese	[object Object]	(A person from Lebanon)	n
Lebanon	[object Object]	(Lebanese Republic)	prop
