@rowCount	12099
fenestrodivida	split-window
fenestroframo	window frame
fenestrokadro	frame, window frame
fenestroklapo	window flap, window vent
fenestrokovrilo	blind
fenestrokruceto	mullion, transom
fenestrokruco	mullion, transom
fenestroornamajxo	window decoration
fenestropordo	window
fenestrornamajxo	window decoration
fenestrosistemo	window system
fenestrumo	shutter
fenica	Phoenician
fenico	Phoenician
fenikoptero	flamingo
fenikso	phoenix
fenilamino	aniline
fenkolo	fennel
feno	chinook (wind)
fenolo	carbolic acid, phenol
fenomena	phenomenal
fenomene	phenomenally
fenomenisma	phenomenalistic
fenomenismano	phenomenalist
fenomenismo	phenomenalism
fenomeno	phenomenon
fenomenologia	phenomenological
fenomenologio	phenomenology
fenomenologo	phenomenologist
fenotipo	phenotype
Fenro	Fenris
fenugreko	fenugreek
feo	fairy, spirit
fera	iron
fera kurteno	iron curtain
ferajxisto	ironmonger
ferajxo	hardware, iron (object)
ferakonto	fairy story
ferbetono	(iron-)reinforced concrete
ferdeko	deck (ship)
ferdeksegxo	lounge chair
Ferdinando	Ferdinand
ferdrato	wire, iron wire
fereca	ferrous, iron-containing
ferepoko	iron age
ferfandajxo	cast-iron
ferganto	gauntlet
ferhava	ferrous, iron-containing
feria	vacation, holiday
feria auxtobuso	holiday coach
ferianto	holidaymaker
feriauxtobuso	holiday coach
ferii	to be on vacation, take a vacation
ferika	ferric
ferio	holiday, vacation
ferioj	vacation
feritkerna memorilo	ferrite core
ferkromajxa	ferrochrome
ferlada	tin
ferladisto	tinsmith, whitesmith
ferlado	tin
ferli	to furl, roll up, take in
ferma krampo	end (close) parenthesis
fermajxo	closure
fermata	closed
fermato	fermata, hold
Fermdigo	IJsselmeer Dam
fermegi	to bang, slam
fermenta	zymotic
fermentado	fermentation
fermentajxo	dough (starter)
fermentema	fermentable
fermenti	to ferment
fermentigi	to ferment, leaven
fermentilo	leaven, yeast
fermentita brasiko	sauerkraut
fermento	enzyme, ferment
fermi	to close, shut, adjourn
fermi dosieron	close a file
fermi vian klapon!	shut your trap!, shut up!
fermigxi	to close, be closed, become closed
fermigxo	closure
fermilo	fastener, latch
fermio	fermium
fermiono	fermion
fermita	closed, shut
fermita proceduro	closed subroutine
fermita sistemo	closed system, closed circuit system
fermita societo	clique
fermita vojo	closed path, loop
fermitkoda	closed source (program)
fermo	closure
fermobutono	close button
fermpincxi	to squeeze
fermplato	cover, lid
Fermu la fauxkon!	Shut up!, Shut your trap!
fero	iron
feroa	Faroese
Feroaj Insuloj	Faeroes
feroca	fierce
feroce	fiercely
feroco	ferociousness
ferolo	devil’s dung, giant fennel, stinking gum
feromono	pheromone
Ferooj	Faroe Islands
ferotipio	ferrotype
feroza	ferrous
ferskatolo	can, tin, tin can
fertila	fertile
ferumi	to shoe
fervoja	railroad, railway
fervoja stacidomo	railway station
fervojisto	railroad employee, railroad worker
fervojkompanio	railroad company
fervojo	railroad, railway
fervora	ardent, fervent, full of zeal, zealous
fervore	earnestly, fervently
fervoreco	fervency
fervorega	fiery
fervorege	officiously
fervoregeco	officiousness
fervori	to be zealous
fervoro	fervor, zeal, mettle
fervorulo	zealot
festa	festal
festado	celebration
festanto	reveler
festena	festive
festenado	banquet
festenanto	reveler
festene	festively
festeneco	conviviality
festenego	revel
festenejo	banquet hall
festeni	to banquet, feast
festeno	banquet, feast
festenocxambro	banquet room
festeto	party
festi	to celebrate, party
festi sian naskigxtagon	to celebrate one’s birthday
festivalo	festival
festlibro	commemorative publication, festschrift
festo	celebration, festival, party, holiday
Festo de CXiuj Sanktuloj	All Saints’ Day
Festo de la Sankta Triuno	Trinity Sunday
Festo de la Sankta Triunuo	Trinity Sunday
Festo de Lauxboj	Feast of Tabernacles
Festo de Sankta Patriko	St. Patrick’s Day
festoni	to festoon
festono	festoon
festosalono	assembly hall
festotago	holiday
festparolado	address, (keynote) speech
festuko	fescue
feta	fetal
feticxismo	fetishism
feticxisto	fetishist
feticxo	fetish
feto	fetus
fetora	bad-smelling, stinking, odorous
fetoranta	bad-smelling, stinking, odorous
fetoreco	smelliness
fetori	to reek, smell, smell bad, stink
fetoro	fetor, stench, stink
feuxda	feudal
feuxdala	feudal
feuxdaleco	feudality
feuxdalismo	feudalism
feuxdestro	feudal lord
feuxdismo	feudalism
feuxdo	feud, fief
feuxdocxefo	feudal lord
feuxdulo	vassal
fezo	fez
fi	to shame
Fi al vi!	Shame on you!
fi-	(denotes lack of morals, principles)
Fi!	Shame!
fia	base, disgusting, nasty, shameful, filthy, dirty, vile
fiaga	abusive
fiagado	abuse
fiago	abuse
fiajxo	nastiness, something disgusting, naughty thing, bad deed
fiakristo	cab driver
fiakro	cab, carriage for hire, coach for hire, fiacre
fiancinigxo	engagement
fiancxamiko	best man
fiancxeco	betrothal
fiancxigi	to betroth, become engaged, get engaged
fiancxigxi	to get engaged
fiancxigxinta	engaged
fiancxigxo	betrothal, engagement
fiancxina	bridal
fiancxinbukedo	bridal bouquet
fiancxinigxi	to become engaged
fiancxinigxinta	engaged
fiancxinigxo	betrothal, engagement
fiancxino	bride, fiancée
fiancxo	betrothed, fiancé, sweetheart
fiaska	abortive
fiaski	to abort, fail
fiaskigi	to abort, quash
fiasko	abortion, failure, fiasco
fiauxdaca	outrageous
fiberca	fibrous
fibero	muskrat
fiberto	fibril
fibestoj	vermin
fibolo	safety pin
Fibonacxi	Fibonacci
Fibonacxia sekvenco	Fibonacci series
fibra	fiber
fibrigxi	to fray
fibrino	fibrin
fibro	fiber, filament
fibromo	fibroma
fibrooptiko	fiber optics
fibuba	loutish
fibubo	lout
fibulo	fibula, safety pin
fibusxo	dirty mouth
ficxefo	instigator
fidebla	dependable, reliable, responsible, trusty
fideble	dependably, reliably
fidela	accurate, exact, faithful, loyal, staunch, trusty, trustworthy
fidele	faithfully
fideleco	adherence, allegiance, fealty, fidelity, loyalty
fidelo	adherence, allegiance, faithfulness, fidelity
fidelrompo	breach of faith
fidelulo	believer
fidema	confident, trusting
fideme	confidently
fidi	to have faith, have faith in, trust
fidi al	to rely on, trust in
fidi je	to have faith in, rely on, trust in
fidinda	reliable, trustworthy, dependable
fidinde	dependably, faithfully
fidindeco	believability, credibility, reliability
fidindo	reliability
fido	confidence, faith, trust
fidro	feeder, feeder-cable
fie	grossly
fiera	proud, haughty
fierajxo	pride
fiere	proudly
fiereco	pride
fierega	overbearing
fierege	overbearingly
fierego	arrogance, haughtiness
fiereta	perky
fieri	to be proud
fieri pri	to be proud of
fierigxi	to be proud
fierinda	glorious, illustrious
fiero	pride
Fieru pri sxi!	Be proud of her!
fierulo	proud person
fifama	of ill repute
fifame	notoriously
fifamiga	smear
fifamigi	to smear
fifamigo	smear
fifamo	infamy
fifari	to commit, perpetrate
fifarinto	perpetrator
fiflata	adulatory
fiflatado	adulation
fiflati	ingratiate oneself to, toady to
fifro	fife
figarbo	fig tree
figazeto	dirty magazine
figo	fig
figringo	thimble
figujo	fig tree
figura	figurative
figura esprimo	figurative expression, figure of speech
figurado	depiction, representation
figuranto	extra (performer in a play, etc.)
figure	figuratively
figuri	to depict, represent, figure
figuro	configuration, diagram, figure, image, picture, representation
figurotabelo	table of figures
figvidanto	instigator
figxia	Fijian
figxiano	Fijian
Figxiinsuloj	Fiji Islands
Figxio	Fiji
fihelpanto	accessory, accomplice (to a crime or misdeed)
fihelpo	abetment
fiherbo	weed
fihomo	evil person, bad person
fihumila	obsequious
fihumile	obsequiously
fihumileco	obsequiousness
fiigi	to pervert
fiinsektoj	pests, vermin
fikadi	go on fucking
fikado	fucking
fikampanjo	agitation
fikario	lesser celandine
fikcia	fictional, fictitious
fikcie	fictionally, fictitiously
fikcio	fiction
fiki	to fuck, screw
fiko	(a) fuck
fikomerci	to traffic
fikomercisto	trafficker
fikomerco	traffic
fikopii	to crib
fiksa	fixed
fiksa memorilo	read-only store
fiksa memoro	read-only memory, ROM
fiksa punkto	fixed point
fiksado	setting
fiksaj klavoj	sticky keys
fiksbano	fixing agent
fikseco	fixity
fiksgranda	fixed-size
fiksi	to attach, determine, fasten, fix, affix, make fast, secure
fiksi doganon	clear
fiksigxema cxeflitera registrumo	caps lock
fiksigxi	to attach, be stranded, stick
fiksigxo	adhesion
fiksilo	fixer
fiksita disko	fixed disk, hard disk
fiksita programo	firmware
fiksita punkto	fixed-point
fikskoma	fixed-point
fikskuvo	fixing tank
fikslargxa	fixed-width, fixed width
fikslonga	fixed-length
fikslonga spaceto	hard space
fikso	fixing
fiksprogramo	firmware
fikspunkta	fixed-point
fikspunkta nombro	fixed-point number
fikspunkta prezento	fixed-point representation
fiksrigardi	to gaze
fiksrigardo	stare
fikssignara regximo	text mode
fikstempo	deadline
fiktiva	fictitious
fiktive	fictitiously
fikuso	banyan
fikutimo	vice
filakterio	phylactery
filaktero	phylactery
filamenteca	filament
filamento	filament
filandro	gossamer
filanto	phyllanthus
filantropeco	philanthropy
filantropia	philanthropic
filantropie	philanthropically
filantropio	philanthropy
filantropo	philanthropist
filario	guinea-worm
filatela	philatelic
filatelio	philately, stamp collecting
filatelisto	philatelist
filatelo	philately, stamp collecting
fileo	filet
filerte	craftily
filharmonia	philharmonic
filharmonio	philharmonic
filia	filial
filieco	affiliation
filigi	to adopt (child)
filigo	adoption
filigrani	to filigree
filigrano	filigree, watermark
filiigi	to affiliate
filiigo	affiliation
filiigxi	to affiliate
filiigxo	affiliation
filiko	fern
filikoplantoj	ferns
filino	daughter
filio	affiliate, affiliation, branch, affiliated body
filipina	Philippine
Filipina Maro	Philippine Sea
filipinanino	Philippine woman
filipinano	Filipino
Filipinoj	Philippine Islands, Philippines
filistra	stuffy, philistine
filistro	philistine
filisxto	Philistine
filmaktoro	film actor
filmantauxeniro	film wind
filmarkitekto	art director
filmbobenujo	film cartridge chamber
filmer-rapido	frame rate
filmero	frame
filmeto	video
filmfaristo	film maker
filmgvidilo	film leader
filmi	to shoot (a film), film
filmilo	movie camera
filmisto	film maker
filmitajxero	clip
filmitajxo	footage
filmkamerao	film camera
filmkartocxo	roll film
filmkaseto	film cartridge
filmludi	to act (in a film)
filmo	film, motion picture, movie
filmo-antauxeniro	film wind
filmo-bobenilo	film winder set
filmoantauxeniro	film wind
filmobildo	photogram
filmobobenilo	film winder set
filmodosiero	movie file
filmostudio	film studio
filmportilo	plate-holder, film-plate holder
filmprojekciilo	film projector
filmrevolva	rewind (film)
filmruleto	film
filmserio	film series
filmstelulo	movie star
filmstudio	film studio
filmteatro	cinema, movie theatre, theatre, the pictures
filmtenilo	negative carrier
filmvisxilo	wash off pliers
filo	son
filo de la cxielo	son of heaven
filogenezo	phylogenesis
filoj	sons
filologia	philological
filologie	philologically
filologiisto	philologist
filologio	philology
filologo	philologist
filono	phylum, sub-kingdom
filoskopo	warbler, willow-warbler
filozofe	philosophically
filozofi	to philosophize
filozofia	philosophic
filozofie	philosophically
filozofiema	philosophical
filozofii	to philosophize
filozofiisto	philosopher
filozofio	philosophy
filozofo	philosopher
filtrado	filtering
filtri	to filter
filtrigxi	to filter
filtrila	filter
filtrilo	filter
filtrita	filtered, family-friendly (content)
fimbrio	fimbria
fimensa	foul minded
fina	final
fina parto	back part, hind part
fina prilaborado	finishing off
fina rando	terminal vertex (of an arc)
fina uzulo	end user
fina valoro	final value
finajxo	ending
finalano	finalist
finalisto	finalist
finalo	decider, playoff, finale
financa	financial
financadministrilo	finance manager
financado	finance, financing
finance	financially
financi	to finance
financisto	financier
financo	finance
finarangxi	to conclude, dispatch, expedite, finish, settle
finarangxo	completion, settlement
findecidi	to compose, conclude, dispatch, settle, make up one’s mind
fine	at last, finally, ultimately, finally, in the final analysis, when all is said and done
fine de	at the end of, in the end, finally
fine de la tago	at the end of the day
finetikedo	trailer label
finfara bato	coup de grace
finfari	to complete, finish (off), finalize
finfina	ultimate
finfine	after all, at last, at long last, when all is said and done
finfineco	finality
fingra	digital
fingri	finger
fingringo	thimble
fingro	finger, digit
fingrofrapo	touch
fingromontri	to point (with one’s finger)
fingroplektro	finger plectrum
fingropremajxo	fingerprint
fingropremo	fingerprint
fingrospuro	fingerprint
fingrotabulo	fingerboard
fingrumi	to finger, handle
fini	to accommodate, end, finish, terminate, close, conclude
fini alvokon	hang up (telephone)
fini fusxrapide	to bungle one’s work
finia	finite
finia auxtomato	finite automaton
finia vico	finite sequence, finite series
finialo	finial
finidimensia	finite-dimensional
finigi	to finish
finigxanta	ending
finigxi	to end up, come to an end, expire, wind up
finigxi je	to end in
finigxo	end, terminate
finilo	terminating symbol, terminator
finilonga vico	finite sequence, finite series
finio	finite object
finita	completed, done, finished, over, through
finitivo	finite, finite form
finkondicxa iteracio	REPEAT-loop, REPEAT-statement
finkrampo	end (close) parenthesis
finkunsidi	to finish a meeting
finlabori	to finish
finlandano	Finn (person from Finland)
finlando	Finland
finlegi	to read, read out
finlerni	to learn completely, master
finletero	final letter
finludigxi	to play itself out, come to an end
finmangxi	to finish eating
finmarko	end mark
finna	Finnish
Finna Golfo	Gulf of Finland
finna lingvo	Finnish, Finnish language
finnino	Finnish, Finnish lady, Finnish woman
Finnio	Finland
Finnlando	Finland
finno	Finn
finnoj	Finns
Finnujo	Finland
fino	end, ending
fino bona, cxio bona	all’s well that ends well
finofara	finished
finomi	to brand
finpagi	to pay off
finpago	acquittal, payment, full payment
finparoli	to finish speaking
finpretigi	to finish, get finished
finpretigo	accomplishment
finpunkto	endpoint
finrikordo	trailer record
finsigno	end character
finstacio	end-of-the-line
finstudi	to finish one’s studies
finti	to feint
finto	ruse, feint
finuzita	used up
finuzitajxo	cast-off
finveni	to end up
finvorto	final word
fio	phi
fiolo	phial, vial
fiparolado	filthy talk
fipetola	wanton
fipetolemo	wantonness
fiprofiti	to take advantage of
fiprogramara	malware
fiprogramaro	malware
firakonto	dirty story, smutty story
FireWire-datumbuso	FireWire, FireWire data bus
firma	fast, firm, stable, staunch, unshaken
firmaa	business
firmajxo	dry land, firmament
firmamento	firmament
firmao	company, firm
firme	firmly
firmeco	firmness
firmeto	partnership, small business, small company, small firm, sole proprietorship
firmigi	to congeal, fasten, fix, affix, secure
firmigilo	splint
firmigxi	to firm
firmo	company, firm, enterprise, business
firmprogramo	firmware
firmvaro	firmware
firsto	coping
fisio	fission
fiska	fiscal
fiska jaro	fiscal year
fisko	exchequer, state treasury
fiskribi	to scrawl
fistuleno	beef-steak fungus
fistulo	fistula
fisxa vosto	fish tail
fisxado	fishing
fisxaglo	osprey
fisxajxo	fish meat
fisxanto	angler, fisher
fisxaro	shoal
fisxbredisto	fish breeder
fisxcxasi	to angle, fish
fisxejo	fishing spot, fishing hole, fishing ground(s)
fisxerco	bad joke
fisxfadeno	fishing line
fisxgluajxo	kaid
fisxgluo	kaid
fisxhaveno	fish harbor
fisxhoki	to fish with a line
fisxhoko	fishhook
fisxi	to fish
fisxi nase	to fish with a fish trap
fisxi rete	to fish with a net
fisxidajxo	whitebait
fisxilaro	fishing-tackle
fisxisto	fisherman
fisxistvilagxo	fishing village
fisxkapta	fishing
fisxkaptada	fishing
